mjd,source,band,mag_AB,mag_err,flux,flux_err,flux_unit,meta,note
58623.53943,ATLAS,o,,,18.5,22.2,uJy,nightly_stack_n4,nondet_3sig_limit_19.07
58624.5224,ATLAS,o,,,12.6,16.7,uJy,nightly_stack_n4,nondet_3sig_limit_19.41
58628.48414,ATLAS,o,,,-3.0,12.8,uJy,nightly_stack_n4,nondet_3sig_limit_19.94
58630.48699,ATLAS,o,,,-8.7,5.7,uJy,nightly_stack_n4,nondet_3sig_limit_20.81
58632.49429,ATLAS,o,,,1.0,8.1,uJy,nightly_stack_n4,nondet_3sig_limit_20.40
58634.50825,ATLAS,c,,,-5.6,4.7,uJy,nightly_stack_n4,nondet_3sig_limit_21.04
58636.49092,ATLAS,o,,,1.8,7.8,uJy,nightly_stack_n4,nondet_3sig_limit_20.39
58642.45618,ATLAS,c,,,5.9,5.7,uJy,nightly_stack_n4,nondet_3sig_limit_20.50
58644.4518,ATLAS,o,,,-3.2,8.2,uJy,nightly_stack_n4,nondet_3sig_limit_20.42
58646.44976,ATLAS,o,,,-1.0,10.6,uJy,nightly_stack_n2,nondet_3sig_limit_20.14
58648.44637,ATLAS,o,,,9.8,12.8,uJy,nightly_stack_n4,nondet_3sig_limit_19.69
58649.51278,ATLAS,o,,,11.1,8.2,uJy,nightly_stack_n4,nondet_3sig_limit_20.02
58650.44816,ATLAS,o,,,11.8,14.8,uJy,nightly_stack_n4,nondet_3sig_limit_19.52
58651.44159,ATLAS,o,,,40.2,33.8,uJy,nightly_stack_n4,nondet_3sig_limit_18.52
58656.55005,ATLAS,o,,,6.3,13.5,uJy,nightly_stack_n4,nondet_3sig_limit_19.72
58658.61174,ATLAS,o,,,-28.9,14.5,uJy,nightly_stack_n4,nondet_3sig_limit_19.80
58660.509,ATLAS,o,,,-2.5,7.6,uJy,nightly_stack_n4,nondet_3sig_limit_20.50
58664.51774,ATLAS,o,,,-0.5,6.0,uJy,nightly_stack_n4,nondet_3sig_limit_20.76
58666.44315,ATLAS,c,,,-7.0,5.0,uJy,nightly_stack_n4,nondet_3sig_limit_20.95
58668.50679,ATLAS,o,,,1.3,7.2,uJy,nightly_stack_n4,nondet_3sig_limit_20.50
58670.47954,ATLAS,o,,,-2.4,7.2,uJy,nightly_stack_n4,nondet_3sig_limit_20.56
58673.54307,ATLAS,o,,,-0.9,6.7,uJy,nightly_stack_n4,nondet_3sig_limit_20.64
58676.41919,ATLAS,o,,,12.6,10.8,uJy,nightly_stack_n4,nondet_3sig_limit_19.77
