recno,WDJname,GaiaDR3,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,plx,e_plx,Gmag,RPmag,BPmag,gmag,rmag,Variable,Periodic,Freq,gAmp,rAmp,Class,Note,Simbad
525,WDJ130110.52+010739.93,3690323316193465344,195.29393734505,0.048642,1.12778524718,0.036636,12.0698,0.0628,16.3444,16.3239,16.3682,16.31025,16.47496,False,False,0.0000000000,0.000000000,0.000000000,---,"in_SIMBAD_(V*),_in_MWDD",Simbad
526,WDJ011817.61+384249.43,370046960520651008,19.57353283440,0.117366,38.71372296404,0.115695,2.9172,0.1521,17.9550,17.9624,17.9353,17.82668,18.22210,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
527,WDJ125215.17+041042.95,3705386281897262848,193.06327161486,0.043668,4.17863341467,0.030432,14.5934,0.0548,16.0315,16.0333,16.0465,15.96315,16.14888,False,False,0.0000000000,0.000000000,0.000000000,---,in_MWDD,Simbad
528,WDJ011631.77+392439.01,371636961709032448,19.13236482037,0.103041,39.41080048842,0.087179,1.0226,0.1233,17.8930,18.1012,17.8053,17.79824,18.20207,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
529,WDJ135523.92+085645.42,3721943209023827456,208.84965771856,0.081840,8.94596608275,0.076693,1.6813,0.1070,17.5359,17.7856,17.4290,17.38008,17.80744,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
530,WDJ125719.25+092557.60,3734403802503350912,194.32990337417,0.070570,9.43274520203,0.047048,8.1549,0.0812,17.1522,17.1690,17.1730,17.07442,17.24160,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
531,WDJ125627.98+101711.39,3735279494794280448,194.11600017756,0.039675,10.28661502312,0.029594,11.5401,0.0528,16.2430,16.3034,16.2393,16.13313,16.39161,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
532,WDJ133350.57+102935.14,3738139943013858816,203.46030897061,0.100591,10.49313626718,0.067236,5.5617,0.1268,17.7732,17.5699,17.8236,17.76289,17.87354,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
533,WDJ132925.23+123025.48,3739708911747317248,202.35497521314,0.088208,12.50702557906,0.054790,4.7483,0.1102,17.3633,17.3452,17.3749,17.26991,17.51529,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
534,WDJ134903.70+141955.67,3740975441767827968,207.26429041523,0.058015,14.33137425431,0.044541,9.9421,0.0816,16.6386,16.6278,16.6736,16.59851,16.76494,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
535,WDJ005554.61+411708.24,374333032939743488,13.97753556336,0.089728,41.28559458396,0.066279,0.9904,0.1140,17.9563,18.0675,17.9020,17.83607,18.23963,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
536,WDJ132814.32+163151.39,3745268523572692480,202.05929459610,0.063591,16.53103091163,0.037840,8.4978,0.0842,16.4729,16.4985,16.2525,16.06229,16.39475,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
537,WDJ010025.52+421841.47,374811767174987776,15.10666486458,0.050344,42.31116228373,0.034398,11.3237,0.0666,16.5654,16.5410,16.5916,16.49287,16.69387,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
538,WDJ105010.80-140436.76,3750072904055666176,162.54412234541,0.076367,-14.07693145494,0.064529,9.1546,0.0889,17.1387,17.0913,17.1975,17.09215,17.17448,True,False,0.0000000000,0.311765710,0.483247780,---,"FAR,_in_SIMBAD_(CV)",Simbad
539,WDJ104256.58-142741.07,3750176395587687296,160.73546665590,0.141309,-14.46139317457,0.127646,6.1039,0.1542,17.9382,17.9391,17.9917,17.91327,18.04696,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
540,WDJ110832.21-084326.55,3759364193922337152,167.13423154134,0.089498,-8.72407822871,0.067844,1.5369,0.0988,16.9888,17.3697,16.8172,16.77667,17.31845,True,True,1.0440063622,0.125796690,0.112132550,Unknown_type,---,Simbad
541,WDJ103455.66-081915.49,3774208322451434624,158.73152872729,0.081375,-8.32102833654,0.078495,8.5374,0.0938,17.1125,17.1081,17.1384,17.07169,17.25163,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
542,WDJ114833.63+012859.42,3796414192429498880,177.13992970316,0.075353,1.48315444886,0.060021,6.8534,0.0907,17.1457,17.2500,17.0788,17.02871,17.31964,True,False,0.0000000000,0.164617190,0.157896230,---,FAR,Simbad
543,WDJ105612.32-000621.79,3804750586512019840,164.05115784874,0.101304,-0.10643445807,0.089274,6.6610,0.1223,17.6110,17.6047,17.6493,17.55691,17.70961,False,False,0.0000000000,0.000000000,0.000000000,---,in_MWDD,Simbad
544,WDJ111306.25+003243.84,3810134246413902848,168.27439478857,0.106483,0.54509547423,0.125663,18.0863,0.1510,17.6607,17.0609,17.6770,17.65498,17.34192,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
545,WDJ004101.22+414429.47,381335822504421376,10.25502131680,0.095622,41.74135152216,0.080407,6.8583,0.1234,17.9808,17.7472,18.1194,18.10757,18.02214,True,True,0.9542104157,0.136676910,0.125424140,Spotted_variables,---,Simbad
546,WDJ110634.39+073712.26,3818342165139791232,166.64332128700,0.135961,7.61997386785,0.156050,3.3402,0.2248,17.1421,17.0502,16.9589,16.93715,17.34147,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
547,WDJ095211.56+001839.92,3833958975465526784,148.04810983150,0.142232,0.31115068254,0.128387,1.8989,0.1755,17.5762,17.8246,17.3916,17.36144,17.81556,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
548,WDJ094901.29-001909.54,3833982271367482624,147.25568689206,0.058048,-0.31969543878,0.048767,11.7212,0.0720,16.5516,16.5111,16.5969,16.53183,16.66894,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
549,WDJ100645.76+003204.48,3834895969825628800,151.69052374675,0.059147,0.53461934646,0.050769,2.9683,0.0708,16.7029,16.7925,16.6443,16.57989,16.96814,True,True,9.4704914713,0.122183390,0.218555925,---,in_SIMBAD_(V*),Simbad
550,WDJ091748.20+001041.72,3842377248804727168,139.45087253941,0.098988,0.17819523407,0.079994,2.4621,0.1081,17.4058,17.6993,17.2615,17.24189,17.70108,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
551,WDJ095014.88+030935.46,3847170947703000192,147.56165604523,0.142600,3.16005695122,0.151894,5.9004,0.1515,17.9503,17.9465,17.9853,17.90541,18.06486,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
552,WDJ095144.01+074957.41,3853871715160246528,147.93324084714,0.095471,7.83229849864,0.082335,7.4199,0.1041,17.5750,17.5712,17.6216,17.54100,17.69451,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
553,WDJ102822.34+034416.60,3857118439852847744,157.09285471348,0.084132,3.73780712904,0.080890,13.3093,0.0940,17.4056,17.1634,17.5408,17.53368,17.43761,True,True,0.0519351663,0.156025500,0.140093395,---,---,Simbad
554,WDJ101548.02+030648.34,3859871342090899328,153.95014219913,0.035830,3.11286033309,0.030995,16.5554,0.0419,15.6659,15.6825,15.6830,15.60702,15.79181,False,False,0.0000000000,0.000000000,0.000000000,---,in_MWDD,Simbad
555,WDJ000155.04+452033.38,386584233877132416,0.48089038687,0.079498,45.34246840600,0.075472,20.8389,0.1116,17.8197,17.3703,18.0594,18.30017,17.80690,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
556,WDJ104118.90+084139.75,3869028968280339200,160.32879545305,0.109287,8.69411979397,0.099069,7.1245,0.1288,17.4824,17.0700,17.1616,17.12259,17.26109,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
557,WDJ104847.74+094841.03,3869420115246986368,162.19873884284,0.109857,9.81142046556,0.091188,6.3554,0.1194,17.9217,17.9392,17.9511,17.88284,18.03249,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
558,WDJ105256.27+130349.55,3872667110522342656,163.23399034081,0.085876,13.06383801710,0.071847,8.0164,0.1001,17.4012,17.3746,17.4211,17.36629,17.49559,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
559,WDJ102106.71+082724.97,3875574665942869632,155.27768108103,0.104481,8.45683248293,0.082866,3.5210,0.1173,17.7955,17.9870,17.6988,17.63723,18.01340,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
560,WDJ002952.68+441904.00,388531679425970176,7.46989040853,0.044735,44.31754796104,0.038666,9.5561,0.0627,16.4715,16.5525,16.4256,16.34076,16.63528,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
561,WDJ102251.65+161151.60,3890059941364406144,155.71489940981,0.114359,16.19771686850,0.149282,1.8640,0.1533,17.8052,17.9974,17.7222,17.67800,18.03496,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
562,WDJ115154.21+052839.58,3897445571422443904,177.97600067664,0.032093,5.47666573778,0.029754,24.8024,0.0422,14.9625,14.9257,14.9916,14.93641,15.08008,False,False,0.0000000000,0.000000000,0.000000000,---,"in_SIMBAD_(V*),_in_MWDD",Simbad
