ra,dec,rmag,imag,ndet
247.03154430953808,-29.180639112267375,22.237556,21.625,4
247.03711398764,-29.182941665912836,22.01428,21.59375,8
247.03616188388546,-29.182326865486772,22.79184,22.21875,4
247.033729614785,-29.177962156915754,22.34375,99.99,5
247.03537965556035,-29.18026097171249,22.43115,21.640625,4
247.03509482682588,-29.179369274087158,21.797852,20.90625,7
247.03953159829553,-29.1816572586586,22.359375,99.99,3
247.04264521729795,-29.182450363579704,22.652233,21.46875,4
247.0379630298053,-29.17977032331266,21.50312,20.796875,8
247.03865429764454,-29.17931445469713,23.018208,21.734375,4
247.04313242080164,-29.180111283611446,22.734375,99.99,1
247.04544479556233,-29.18863458248395,99.99,18.5,1
247.0438693750935,-29.188265430299378,14.5625,99.99,5
247.04553937364918,-29.18862124735133,22.890625,99.99,1
247.04347185114443,-29.186161254576266,21.527327,21.125,11
247.04533726767897,-29.18635122764655,19.632093,19.328125,14
247.04400464730395,-29.18486510199884,19.705065,19.140625,13
247.0461926100689,-29.185104061790884,20.565413,20.140625,12
247.04819132918834,-29.187760044046865,21.026346,99.99,12
247.05435122918655,-29.189344242864856,23.210966,22.4375,3
247.04932289849793,-29.18606739556664,21.770445,20.09375,12
247.04614862081164,-29.18281523756247,22.84375,21.5,3
247.0469741029664,-29.184001453953478,99.99,22.796875,2
247.04866443112087,-29.185181476461104,99.99,22.78125,2
247.04412174932594,-29.18133429628915,22.375,99.99,1
247.0447585674569,-29.180200545270328,16.171333,15.859375,9
247.0474410591317,-29.182286424017036,21.525782,99.99,6
247.04804242344036,-29.182339451763102,23.03125,99.99,1
247.04668060028135,-29.1809548844929,20.195818,19.28125,8
247.05305854069337,-29.184645954883518,99.99,23.125,1
247.0512744915071,-29.18348968403782,19.66303,19.21875,8
247.051559332205,-29.18196326320033,20.332619,99.99,7
247.05468674589218,-29.183871446401394,20.782368,20.34375,10
247.05455795164255,-29.1821920591098,19.504318,99.99,7
247.05614347479315,-29.187431067378466,23.203125,99.99,1
247.05719096564928,-29.187865933857893,22.406414,99.99,6
247.0593204752566,-29.188488533819434,99.99,22.65625,1
247.0637656568048,-29.189031503941145,20.992622,20.609375,13
247.0559349858022,-29.18641796311945,22.256495,21.890625,9
247.05591106903685,-29.18633510856877,22.34375,99.99,1
247.05910336542155,-29.186556373391227,99.99,22.3125,2
247.058503817087,-29.18581657404841,19.128098,18.703125,13
247.05951904248056,-29.18586848321434,21.846535,20.96875,10
247.0561487120305,-29.184089108024775,21.73226,20.859375,8
247.05750409518345,-29.18401001305035,18.697512,18.3125,9
247.06227239255614,-29.186752097120088,22.5625,21.59375,4
247.06320004521407,-29.187728573775786,16.445793,99.99,11
247.06398851112763,-29.188005196161683,20.125,99.99,3
247.06180315363423,-29.185440227477805,21.840513,20.765625,12
247.0653948038085,-29.188078257284328,23.34375,99.99,2
247.06447518099728,-29.18692512691725,22.119247,21.875,4
247.06458461716858,-29.18696703864984,99.99,99.99,1
247.06503625370306,-29.18714544609473,23.1875,99.99,2
247.0659681028096,-29.18677608834043,22.407793,21.140625,8
247.06165352236135,-29.184648265213664,23.703125,22.78125,3
247.06394689225553,-29.18562508935719,23.671875,99.99,1
247.06362034239422,-29.185081179189226,23.287432,99.99,3
247.0616303540692,-29.18345321413792,19.757614,19.453125,8
247.06697144916538,-29.186248393221938,19.778027,19.453125,13
247.06585646069772,-29.18532687836066,22.779013,21.421875,5
247.06536531240286,-29.18428125798558,99.99,22.9375,1
247.0696880738502,-29.189537749119186,20.889454,20.265625,13
247.07060532934676,-29.189757340397517,21.852802,21.460203,14
247.06889492052184,-29.188964997646636,21.174156,20.640625,13
247.06953939033897,-29.187274433732124,23.21875,99.99,2
247.07019208578097,-29.189306455199382,22.203125,99.99,3
247.07058525022683,-29.188157112365847,23.875,22.703125,2
247.07175227097764,-29.187589949270922,21.801863,99.99,11
247.06847960824595,-29.184455237709145,21.28165,19.984375,12
247.0700448395911,-29.186701853158713,19.378296,99.99,12
247.07206842396386,-29.186054196582063,22.919903,21.8125,6
247.0708052211322,-29.184957678173706,23.34375,22.03125,4
247.074959841219,-29.189390576124826,19.466518,19.046875,13
