ra,dec,gmag,rmag,imag,ndet,class_star
247.13741139342048,-29.178378519363132,99.99,99.99,22.15625,3,0.754232
247.14011158806446,-29.183287267160637,15.751919,99.99,99.99,3,0.994466
247.1436051076508,-29.183489748305792,21.890625,99.99,20.84375,2,0.970215
247.143844172619,-29.18316803412799,20.44787,99.99,99.99,4,0.685913
247.1439223137217,-29.183057193899906,20.6875,99.99,19.859375,2,0.979004
247.14480927433584,-29.18741506479994,21.676414,99.99,19.640625,8,0.969543
247.14978281583691,-29.187578999615802,99.99,99.99,21.28125,3,0.874186
247.1443122547314,-29.184590723831633,23.029253,99.99,20.828125,5,0.896777
247.14711745115082,-29.184980428358752,18.651009,99.99,17.5,6,0.983643
247.14540042901206,-29.184240382503333,19.962597,99.99,18.65625,6,0.98348
247.14794602050384,-29.185146527011607,99.99,99.99,21.671875,2,0.878174
247.14944134423044,-29.186432444164737,99.99,99.99,22,3,0.760417
247.14854740752443,-29.18498115419491,21.388357,99.99,20.28125,6,0.969564
247.14013910569992,-29.181507022413122,22.392889,21.457338,21.234375,8,0.757935
247.13939118494307,-29.180713310105173,99.99,23.46875,99.99,2,0.470093
247.13840818879305,-29.17963537812233,17.824095,16.859375,16.359375,7,0.988909
247.14172686796684,-29.181180117386333,99.99,99.99,22.4375,2,0.72168
247.14385005085734,-29.1815440158841,19.834955,99.99,18.765625,6,0.982992
247.14338033659325,-29.18052628493908,22.11769,99.99,20.625,6,0.896729
247.14230116487565,-29.178242035724043,99.99,99.99,22.390625,3,0.592773
247.14651302372997,-29.181856507425262,23.05211,99.99,21.71875,5,0.731934
247.14891893751687,-29.181711521050765,23.003542,99.99,20.796875,5,0.808594
247.144573671227,-29.178332875653034,99.99,99.99,22.296875,2,0.512329
247.14582201256462,-29.179173803632395,22.717459,99.99,20.609375,5,0.882227
247.14669955028913,-29.179427052428565,19.429638,99.99,18.25,5,0.983203
247.14741109025667,-29.180058437355083,99.99,99.99,99.99,1,0.954102
247.14848096844165,-29.179321187408043,99.99,99.99,99.99,1,0.923828
247.15117737945823,-29.18902525221341,99.99,99.99,21.359375,3,0.937826
247.15553815807755,-29.1897242508799,23.053608,99.99,21.387854,8,0.762146
