night,band,mjd,flux,err,n,snr
58614.0,o,58614.552545750004,-4.465274179254101,6.866036906005406,4,-0.6503422921232089
58618.0,o,58618.5258155,8.572077185017026,8.08580544635051,4,1.060138936299289
58620.0,o,58620.48025575001,24.854529726612483,25.386202201119236,4,0.9790566359515047
58621.0,o,58621.5346625,4.532333648453494,12.175756780979846,4,0.3722424593380185
58623.0,o,58623.539431000005,18.509819065823812,22.210983874473992,4,0.8333633111631876
58624.0,o,58624.5223975,12.645718097673514,16.702162311105884,4,0.7571305955555773
58628.0,o,58628.48413625,-2.9575083158002418,12.789927004076997,4,-0.23123731002197964
58630.0,o,58630.48698925,-8.677610519205711,5.743812305721695,4,-1.5107754322963365
58632.0,o,58632.49429475,0.963540357053055,8.073088308716306,4,0.11935213888503426
58634.0,c,58634.50824825,-5.570766342868886,4.650652639202997,4,-1.1978461465622539
58636.0,o,58636.490917,1.817445388461637,7.843355219049677,4,0.23171784749050853
58642.0,c,58642.45618425,5.8869426751592355,5.706321223943498,4,1.0316528712855941
58644.0,o,58644.451802250005,-3.241060343270989,8.193055565783972,4,-0.39558627635901555
58646.0,o,58646.4497635,-1.0000000000000002,10.606601717798213,2,-0.09428090415820635
58648.0,o,58648.44636649999,9.834654093456981,12.789927004076997,4,0.7689374685502134
58649.0,o,58649.51277975,11.10941176470588,8.231932086840423,4,1.3495509495839257
58650.0,o,58650.4481625,11.799182906049552,14.8487979777791,4,0.7946220915461824
58651.0,o,58651.44158675,40.21031653644645,33.849851771805504,4,1.1879022929707113
58656.0,o,58656.55004525,6.33783452000982,13.538063207626857,4,0.46814927828371433
58658.0,o,58658.611738249994,-28.862365465773227,14.534107991474372,4,-1.9858367285218834
58660.0,o,58660.509001750004,-2.4924471299093653,7.616169791704522,4,-0.3272572957373037
58664.0,o,58664.517741,-0.5000000000000006,6.0,4,-0.08333333333333343
58666.0,c,58666.44314925,-7.033778476040848,5.044966692040894,4,-1.3942170296461163
58668.0,o,58668.506787,1.267220902612827,7.237077926353565,4,0.17510118248116227
