###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57490.272158  19.482  0.482    58   28 c  0   3.87 112.33509   9.86854  7744.99  9510.44 4.14 3.86  74.7 -0.424 19.04 20.59 02a57490o0201c
57490.290334 -16.978  0.042  -587   25 c  0  12.19 112.33509   9.86854  8899.99  8939.07 4.14 3.69  79.2 -0.431 19.06 20.60 02a57490o0236c
57490.308394 -17.552  0.085  -346   29 c  0   8.34 112.33509   9.86854  9148.80  9043.39 4.16 3.69  81.1 -0.423 19.02 20.51 02a57490o0270c
57491.249288  18.926  0.584    98   57 c  0   3.84 112.33509   9.86854  1823.78   448.76 5.56 4.21 -16.9 -0.464 18.49 19.78 02a57491o0074c
57491.253839 -17.989  0.193  -232   45 c  0   2.12 112.33509   9.86854  8444.73 10128.95 4.62 4.35  73.8 -0.385 18.70 20.10 02a57491o0083c
57491.270929  18.299  0.181   174   31 c  0   3.44 112.33509   9.86854  8152.01  9537.49 4.39 4.07  78.7 -0.406 18.74 20.07 02a57491o0116c
57491.289051  20.200  1.066    30   32 c  0   3.85 112.33509   9.86854  9325.21  8970.17 4.67 4.20  78.2 -0.386 18.66 20.04 02a57491o0151c
57491.306808 -17.604  0.118  -330   39 c  0   3.26 112.33509   9.86854  9152.61  9046.77 4.64 4.20  78.4 -0.382 18.62 19.97 02a57491o0185c
57493.226115 -17.838  0.556  -266  148 o  0   1.84 112.33509   9.86854  1574.54   354.06 5.65 3.46 -14.9 -0.526 17.41 17.55 02a57493o0035o
57493.228447 -22.369 21.000    -4   86 o  0   3.72 112.33509   9.86854  8214.77 10027.25 3.92 3.34  74.1 -0.553 17.78 18.09 02a57493o0039o
57493.244486 -16.965  0.086  -594   51 o  0  19.08 112.33509   9.86854  7917.86  9434.05 3.98 3.37  78.9 -0.518 18.41 19.37 02a57493o0069o
57493.251995 -16.972  0.089  -591   53 o  0  11.63 112.33509   9.86854  9073.76  8863.91 4.17 3.44  79.9 -0.505 18.39 19.36 02a57493o0083o
57493.268328 -17.539  0.158  -350   55 o  0  17.14 112.33509   9.86854  9148.00  9042.52 4.11 3.39  82.3 -0.523 18.38 19.35 02a57493o0116o
57494.229259 -21.260 10.750   -11  122 o  0   2.20 112.33509   9.86854  1911.02   249.00 4.73 4.22 -16.0 -0.484 17.31 18.14 02a57494o0036o
57494.231559 -19.309  1.295   -69   89 o  0   3.43 112.33509   9.86854  8529.37  9926.51 4.03 3.39  81.6 -0.548 17.88 18.32 02a57494o0040o
57494.234781 -19.029  1.286   -89  114 o  0   6.01 112.33509   9.86854  1892.85   207.52 4.77 4.35 -22.5 -0.513 17.47 18.60 02a57494o0046o
57494.239335 -18.064  0.244  -216   53 o  0  20.74 112.33509   9.86854  8510.19  9888.25 4.07 3.29  81.7 -0.534 18.25 19.05 02a57494o0054o
57494.244468 -18.339  0.410  -168   69 o  0  14.09 112.33509   9.86854  1951.23   284.17 4.41 3.18 -11.2 -0.576 18.35 19.23 02a57494o0063o
57494.250582 -16.997  0.083  -577   48 o  0  19.77 112.33509   9.86854  8565.77  9966.89 4.12 3.42  79.0 -0.528 18.31 19.16 02a57494o0075o
57494.256796 -16.814  0.090  -683   62 o  0  10.78 112.33509   9.86854  1968.71   166.70 5.09 3.21 -14.1 -0.581 18.39 19.34 02a57494o0088o
57494.264987 -17.951  0.217  -240   52 o  0  17.01 112.33509   9.86854  8584.42  9849.37 4.10 3.43  77.2 -0.515 18.39 19.32 02a57494o0104o
57497.257896 -19.241  0.748   -73   55 o  0  10.11 112.33509   9.86854  1964.14   167.85 4.95 4.03 -18.3 -0.501 18.38 19.53 02a57497o0003o
57497.267517 -19.451  0.736   -60   44 o  0  13.54 112.33509   9.86854  8585.53  9852.40 4.13 3.83  67.8 -0.452 18.45 19.50 02a57497o0022o
57499.226995 -16.849  0.222  -661  147 o  0   1.28 112.33509   9.86854  1905.50   246.06 4.68 3.87 -26.9 -0.526 17.29 17.32 02a57499o0035o
57499.230242 -19.652  1.922   -50   96 o  0   2.84 112.33509   9.86854  8522.22  9925.38 4.03 3.75  76.3 -0.508 17.77 18.17 02a57499o0040o
57499.233790  20.879  4.407    16   71 o  0   6.34 112.33509   9.86854  1886.09   204.97 4.70 3.70 -25.5 -0.550 18.06 18.77 02a57499o0045o
57499.257614 -16.531  0.071  -886   63 o  0   8.34 112.33509   9.86854  1960.82   164.42 4.94 3.48 -21.0 -0.551 18.36 19.28 02a57499o0080o
