sdss_id,gaia,cls,n,n_rv,rv_mean,rv_chi2,drv_max,drv_sig,med_erv,ew_ha_mean,ew_ha_chi2r,ew_ha_range,ew_he_mean,ew_he_chi2r,ew_he_range
59413504,1150874321332023808,DA,3,3.0,12.3,3.8,42.1,2.0,14.0,19.53,11.03,3.54,1.53,6.35,1.99
59423804,1153557434644593920,DB_MS/DB,4,4.0,5.3,12.9,126.0,3.4,23.3,-1.55,11.46,5.78,4.07,4.72,2.53
59567204,1176344229014850816,DA,5,5.0,10.9,38.3,256.2,5.6,28.3,18.02,13.99,5.83,0.77,3.91,2.69
60860504,1367444057209358976,DA,2,2.0,-1.4,2.3,46.1,1.5,21.7,17.53,1.33,1.35,1.6,0.98,0.91
60862804,1367763126033713920,DZ/DA,2,2.0,0.1,0.0,0.1,0.0,3.7,0.47,0.11,0.05,-0.47,3.72,0.23
61292404,1435159546684050560,DA/DAH,2,2.0,83.8,6.0,38.2,2.4,11.1,-2.58,0.93,0.25,-1.11,2.99,0.35
61904904,1545792337955220864,DA,9,9.0,-1.2,24.3,104.6,4.1,13.2,10.19,14.61,7.28,-0.25,15.13,5.58
62491304,1652027147130636800,DA,4,3.0,0.6,0.7,10.3,0.8,6.7,17.97,6.33,3.73,1.08,4.94,2.0
62972904,1738520263689160960,DA,2,2.0,17.7,10.3,74.9,3.2,16.5,18.27,9.38,2.8,1.19,6.5,1.85
63163404,1759740013471846400,DA_MS,2,2.0,2.6,0.9,12.2,0.9,9.3,-17.38,18.87,3.43,-2.46,2.19,0.82
63292504,1777570140706850944,DA,3,3.0,1.3,1.3,16.2,1.1,9.7,3.85,41.89,3.37,-0.41,4.1,0.95
63356004,1786151691527410560,DZ:,2,2.0,0.4,4.6,18.1,2.1,5.9,1.25,9.22,0.86,0.15,14.92,0.83
63381204,1789361097242243584,DA,3,3.0,-12.4,36.4,69.3,6.0,5.3,7.75,65.55,3.18,-0.12,0.21,0.15
63393504,1791018645381430144,DA,2,2.0,-1.4,0.4,10.0,0.6,11.5,13.58,3.28,1.83,-0.05,7.08,2.12
63416304,1794409921493969792,DZ,2,2.0,1.7,0.7,21.0,0.8,16.5,-0.25,0.02,0.04,0.1,3.32,0.35
63608104,1812506057530130560,DA,2,2.0,-1.9,4.3,35.0,2.1,11.7,13.86,23.32,3.73,1.83,0.37,0.37
63853604,1826389904391639168,DA,2,2.0,1.6,0.4,6.3,0.6,7.0,16.41,1.53,0.86,1.45,0.0,0.04
64426604,1876282542300050560,DA,3,3.0,4.9,1.4,26.2,1.1,15.9,20.39,15.49,4.35,2.44,11.92,3.39
65115004,1967189201617387520,DA,2,2.0,5.1,0.8,23.9,0.9,19.0,15.75,1.64,1.6,-1.02,33.26,4.92
65159204,1969846622446307840,DC/DQ,2,2.0,-121.6,43.2,309.6,6.6,32.3,-0.05,0.0,0.02,-0.33,0.59,0.57
65267604,1975234774877048192,DA_MS,2,2.0,-2.0,0.1,3.4,0.2,9.8,-3.46,49.78,6.21,-3.46,0.29,0.27
66025104,2020501123147157760,DA,3,3.0,0.9,0.6,8.1,0.8,7.1,18.68,1.94,1.96,0.57,9.59,3.34
66919104,2065876078216428416,DA,2,2.0,0.2,0.0,0.5,0.1,3.0,-24.93,71.07,100.81,2.37,1.04,0.74
67196404,2083387553247052928,DC:,2,2.0,-1.4,0.9,14.1,1.0,10.2,0.98,4.47,2.07,-0.41,9.49,1.67
67212204,2084395667969541120,DA,2,2.0,-3.2,1.8,13.4,1.3,6.9,8.84,25.52,9.92,1.4,1.24,0.72
67925204,2153427951457223040,DA,3,3.0,-19.6,71.9,235.7,8.5,20.1,17.96,0.84,0.58,1.01,6.27,1.62
67925304,2153441660993174912,DA:,2,2.0,-7.6,0.1,7.9,0.3,19.0,8.41,0.08,0.24,1.73,1.76,0.83
67926504,2153584739240822912,DB:,3,3.0,-11.8,15.5,168.7,3.6,32.7,1.53,10.08,3.56,4.14,10.08,2.88
68383004,2182458052035890688,DA,2,2.0,3.5,3.2,36.5,1.8,14.4,9.27,0.3,0.57,-1.51,3.14,1.37
68614804,2204412069423916544,DA,2,2.0,-14.0,6.9,60.8,2.6,16.2,12.94,0.53,1.31,1.77,28.53,3.97
68629104,2205604936459148928,DA,2,2.0,0.4,0.3,5.9,0.5,7.8,-2.0,7.39,7.0,2.59,1.74,1.03
68657004,2208045057696990336,DA,2,2.0,-22.6,37.3,70.1,6.1,8.1,7.04,8.75,4.03,2.0,24.16,3.62
68681404,2210431517625212800,DA/DAH,2,2.0,0.8,0.2,4.9,0.4,8.0,-1.61,12.71,0.86,-0.5,0.0,0.01
68942504,2246674100932640256,DA:,2,2.0,13.0,0.2,6.7,0.4,10.7,5.45,6.01,0.51,-0.05,0.84,0.16
68983304,2253590677610308992,DA,2,2.0,32.3,0.1,10.7,0.3,23.6,2.21,2.5,0.89,-0.26,2.87,0.7
69034204,2260556667886953344,DA,2,2.0,1.8,0.7,14.8,0.8,12.6,18.05,0.6,0.64,-0.87,0.26,0.34
69341704,2323209554856758272,DB,2,2.0,-1.3,0.8,31.4,0.9,24.4,-0.6,8.23,1.38,5.72,0.01,0.04
69528504,2366203418735850752,DZ/DC,2,2.0,-7.9,0.1,9.0,0.4,17.0,-0.07,0.69,1.72,-0.22,0.89,0.38
70081904,2493228721486722688,DA,8,8.0,9.8,28.4,114.8,4.0,20.5,20.34,8.91,2.88,1.45,5.25,1.81
70105804,2497999502439742464,DA,2,2.0,12.1,6.3,40.4,2.5,10.9,22.35,13.13,2.97,0.32,49.43,4.29
70290204,2534408386884529920,DA,4,4.0,3.8,9.9,46.6,3.0,12.0,15.34,6.26,1.77,0.59,44.47,4.95
70424404,2558736322894795648,DA,2,2.0,-1.9,1.7,15.3,1.3,8.1,18.26,2.25,0.3,0.99,0.37,0.12
70428404,2559512165787198592,DA,2,2.0,-1.3,2.9,22.8,1.7,9.4,18.1,7.97,0.85,1.42,4.6,0.54
70573904,2590505710651473408,DA,4,4.0,2.6,3.7,41.5,1.6,10.7,9.38,13.32,5.29,1.17,1.64,1.2
70831904,2644149993913188224,DA,2,2.0,14.5,0.6,17.6,0.8,16.2,10.97,0.33,0.6,0.7,11.4,2.52
70879704,2654099539056775296,DAO/DA,2,2.0,-2.5,0.2,9.5,0.5,14.7,3.76,8.91,1.2,0.18,2.78,0.53
71013104,2678506876127556864,DA,16,16.0,2.6,39.6,446.2,5.6,25.7,18.71,41.37,6.26,1.01,3.76,1.32
71090904,2689226014987218176,DA,3,3.0,10.5,50.6,235.4,6.5,19.6,4.61,8.78,3.48,-0.21,7.73,3.11
71092104,2689364416012661760,DA,5,5.0,-0.5,12.5,43.0,2.9,10.0,14.68,24.04,3.95,-0.89,203.04,8.5
71364904,2737597207985505664,CV:,2,2.0,-68.4,57.1,316.8,7.6,28.3,-92.73,2309.69,57.01,-16.78,108.65,6.89
71982504,2853933303504252160,DA,4,4.0,0.1,13.3,79.1,3.3,16.8,20.13,6.56,4.11,2.21,8.54,2.12
72202204,2887010981251540224,DA,2,2.0,-6.4,0.8,20.4,0.9,16.2,14.91,0.02,0.14,-0.76,3.29,1.45
74223704,3065573452011518208,DA,2,2.0,2.2,1.5,23.9,1.2,13.1,15.87,1.78,1.31,2.86,0.07,0.2
74224204,3065622620797758720,DA,2,2.0,1.3,0.2,7.0,0.5,10.1,12.66,0.03,0.18,-1.9,14.44,3.19
74831404,3113760786052122368,DA,2,2.0,-0.1,0.0,0.8,0.1,10.2,9.89,8.42,3.45,2.02,0.32,0.56
