sdss_id,li_depth,e_li,li_sig,ctrl1_sig,ctrl2_sig,cai_depth,cai_sig,gaia,cls,teff,G,plx,e_plx,g_mag,bp_mag,rp_mag,bprp,MG
93668301,0.0868690239265027,0.0202201632689448,4.296158382653656,0.5305484064687108,2.5747028728843535,0.2222723671060177,8.360630112959708,4943413555610811904,DA,9959.191,19.23397,6.486328,0.2116576,19.23397,19.30132,19.22013,0.08118999999999943,13.293964531265669
55879575,0.1057178056954201,0.0246165356248764,4.294585042607944,0.2983223949681032,-1.7244046770136796,0.1622932800075605,5.606082822207779,596305425356745088,DA,32653.26,18.65009,1.553725,0.1971986,18.65009,18.5493,18.96368,-0.4143800000000013,9.60696076874924
60956622,0.0354746610181694,0.0082716496683902,4.288704483427832,-1.8813840048593835,-2.8762095267554333,0.0641474633512061,6.485294589353865,1381843815535682688,DA,16983.11,16.8615,6.828541,0.04829232,16.8615,16.81485,17.014,-0.1991499999999995,11.033139606741324
60335582,0.0943006352872524,0.0219909240031973,4.28816157399943,-0.4678218443154642,1.062617311999397,0.0260988778622357,0.9332837981223624,1300956211117631360,DA,-9999.0,18.37032,2.832594,0.1211585,18.37032,18.27844,18.56958,-0.2911399999999986,10.631241654466974
89431038,0.1881961371902042,0.0439357407561786,4.283440632868777,-0.52098245367011,0.4620023747209626,0.1516823002376625,2.3125598567446852,4478402806595941888,DA,20397.25,19.03639,4.037147,0.2324537,19.03639,19.15162,19.13437,0.017250000000000654,12.066762815823601
90129783,0.1560084149384091,0.0364330005012473,4.282063316005721,1.9552279640362509,1.3139689784396884,0.0875388195366447,2.118374253779061,4542841373462939648,DAO/DA,-9999.0,19.29713,7.618749,0.3016984,19.29713,19.44977,19.19427,0.2555000000000014,13.706548329795378
75552871,0.1159946241441895,0.0270969396098732,4.280727853928008,-0.0280718972058457,1.3177567250892408,-0.0475297449077183,-1.1512879516207766,3170474111207449472,DA,14715.79,19.15076,1.979333,0.3584367,19.15076,19.15441,19.29892,-0.14451000000000036,10.63335432701091
92521658,0.0618818542817403,0.0144695709993773,4.276688941531388,-2.2614055470120245,-2.4565857483090725,-0.0322949724907158,-2.025939887276085,4763243250956262656,DB,-9999.0,18.22076,5.708997,0.1038571,18.22076,18.20869,18.29753,-0.08883999999999759,12.003559073954602
64046449,0.0948586846295744,0.0221943533720578,4.274000825317986,-1.469044153029066,-1.013049593012409,0.0312558100659071,1.007003237877547,1840945784770866176,DA,7745.325,19.24033,6.214063,0.2777119,19.24033,19.40266,18.96413,0.4385300000000001,13.207208259732905
57568543,0.1896937914320852,0.0445139591868597,4.261445058971111,-2.9841590035021888,-0.0228823582169682,0.144584352500375,2.578408158437906,877733054347782144,DA,24141.51,19.31781,2.00529,0.3960142,19.31781,19.2512,19.58749,-0.3362899999999982,10.828695940372924
