sdss_id,gaia_dr3_source_id,tic_v8_id,ra,dec,g_mag,plx,e_plx,classification,p_da,p_db,p_dba,p_dah,teff,e_teff,logg,e_logg,snr,telescope,n_visits,min_mjd,max_mjd
79073243,3669732482766367616,1002659549,215.2304,4.881219,18.94785,5.584733,0.3049299,DA,0.9722422,0,0,0.01942515,11291.15,46.32376,8.66224,0.02506921,27.37133,apo25m,4,59351,60473
66945682,2067733874913669888,1969259940,307.7506,40.49162,18.82041,3.54633,0.1556009,DA,0.578212,0.04713512,0.007240171,0.02951145,13482.8,221.3623,7.667261,0.0506258,16.54152,apo25m,3,59367,59392
76198238,3276643885994366208,649893097,57.02636,6.380014,17.81237,6.625932,0.1292946,DA,1,0,0,0,12824.58,77.97713,8.075027,0.0209624,29.0835,apo25m,1,60617,60617
80156698,3874442168966002816,842341220,151.0679,7.095281,19.20594,3.238551,0.3555337,DA,0.9900333,0,0,0.005986277,13251.83,102.8837,8.071233,0.0270987,16.8611,apo25m,1,59666,59666
93790128,4965276558350887040,631997644,36.71613,-37.90741,18.03124,4.879909,0.09215397,DA,0.9948142,0,0,0,13000,97.10364,7.919114,0.02509598,25.98009,lco25m,1,60614,60614
66992660,2070976089888870016,1969649594,307.1321,45.44554,19.20453,3.194734,0.2327657,DA,0.7141094,0.009891064,0,0.02359137,11369.61,127.8345,8.008946,0.06416845,10.74358,apo25m,3,60471,60473
59892952,1228505472953481728,1000125265,215.8338,14.1025,17.39065,7.231168,0.09878883,DA,0.9597322,0.005660544,0,0.004,11500,97.08486,8.159959,0.03668071,13.98186,apo25m,1,60061,60061
76297720,3297007253655435136,673368072,60.79613,5.965464,18.75763,3.884834,0.2149177,DA,0.9191698,0,0,0.003893138,10033.62,27.78998,7.560473,0.03013732,22.66131,apo25m,1,60614,60614
110569888,6462765108518181376,1989118577,318.7036,-56.46051,18.87027,3.552229,0.1985676,DA,0.9789209,0,0,0,10651.82,46.85446,8,0.05698446,16.34644,lco25m,2,60203,60204
111964258,6657855412300594688,1818156622,284.6893,-50.90444,17.95904,5.065372,0.1721361,DA,0.9527381,0.0003746988,0.001625301,0.001972742,10603.09,60.74469,8.178997,0.04507047,13.57757,lco25m,1,60165,60165
57552967,875653607278527488,740677153,118.7015,28.92514,19.33816,3.060838,0.3006738,DA,1,0,0,0,11284.44,41.7303,8.273636,0.0169198,40.0485,apo25m,7,59164,60594
63257148,1772099902853146752,2000499536,323.1255,16.20614,18.69358,2.697119,0.1847626,DA,0.9843354,0,0,0.01183862,11347,84.19907,8.136826,0.03934077,16.65042,apo25m,2,60478,60480
80357207,3914141754273906176,903336064,171.0843,8.987681,18.05276,4.897589,0.1479456,DA,1,0,0,0,12899.89,33.6767,8.070944,0.00950278,112.857,apo25m,25,59210,59278
117443701,413059821042447360,623740049,21.17858,58.0309,19.23242,3.382474,0.2390816,DA,0.9015648,0,0.005330311,0.02510718,11245.01,98.5945,8.200462,0.1034781,9.107639,apo25m,2,60355,60610
80262104,3895796437124016512,903250008,178.2639,3.48737,19.26627,3.476703,0.2668364,DA,0.8126281,0.002441194,0.008630945,0.07528885,12067.76,167.9626,8.180783,0.05664034,8.526005,apo25m,1,60706,60706
110451042,6448736508380549760,1988774589,300.2409,-56.39857,19.66303,1.120523,0.4609492,DA,0.8760601,0.003660544,0,0.04565477,13000,192.05,7.861498,0.07081813,8.420994,lco25m,2,60139,60140
78783400,3620715807724079616,1002035482,206.9664,-5.781256,18.3112,4.840435,0.1690294,DA,0.9900801,0,0,0.007945484,13321.69,116.3279,8.022821,0.02668295,22.00678,lco25m,2,60380,60381
70169505,2510278401622205952,630327421,25.09867,0.6139677,19.37365,2.858271,0.4038633,DA,0.9922268,0,0,0.003972742,13145.91,67.9157,8.178642,0.01985574,32.66117,apo25m,10,59166,60614
75712768,3198092851161255296,671859155,67.71727,-7.579412,18.51441,5.374117,0.162958,DA,0.9014995,0.01189899,0.01791627,0,10772.27,61.92603,8.227649,0.03322025,11.85367,apo25m,3,60294,60319
63379510,1789126695108583936,1938232712,315.9843,18.59593,18.49556,4.483328,0.1799126,DA,0.9923752,0,0,0.001972742,12150.6,107.1614,7.99355,0.0444666,14.46628,apo25m,3,60499,60530
95209990,5223092823676758912,805422380,132.3295,-70.26336,18.87173,2.874753,0.1580424,DA,0.7634422,0.006914497,0.01158344,0.01762394,12827.46,205.6404,8.019866,0.05996061,8.300387,lco25m,2,60408,60409
93243840,4873222623079505920,686094785,73.06818,-34.27858,19.49813,2.801478,0.2252735,DA,0.7560838,0.01732765,0.01029799,0.009918226,10462.88,76.15065,8.604567,0.05000512,10.72973,lco25m,1,60640,60640
57177713,816057633215043456,801620893,138.8714,41.85366,18.64922,3.677412,0.1941071,DA,0.8304655,0,0,0.008,12765.09,149.881,8.346493,0.0455927,15.62538,apo25m,1,60669,60669
79739457,3793188916803911168,902868460,172.8611,-3.129024,19.55367,1.660358,0.3282528,DA,0.952711,0,0,0.01583645,12590.1,106.0118,8.033586,0.0405868,14.56629,apo25m,1,59647,59647
76175820,3269178575702009088,649814606,50.40564,3.277273,18.82686,4.673336,0.2592305,DA,0.9805175,0,0,0.01167845,12118.9,80.14465,8.283384,0.02864399,20.04272,apo25m,2,60583,60584
68124467,2167053825417781632,1975573914,314.4957,48.62546,17.51407,8.30357,0.06796224,DA,0.9709881,0,0.001380478,0.005972742,12238.47,80.07709,8.106553,0.02379463,24.9705,apo25m,2,60468,60470
62765165,1703379704562897280,1201364356,248.5498,75.98329,14.24401,29.85626,0.01816312,DA,0.9941013,0,0,0.002,13467.46,64.25288,8.261263,0.01388784,45.52024,apo25m,1,59632,59632
