sdss_id,gaia_dr3_source_id,tic_v8_id,ra,dec,g_mag,plx,e_plx,classification,p_da,p_db,p_dba,p_dah,teff,e_teff,logg,e_logg,snr,telescope,n_visits,min_mjd,max_mjd,TeffHe,loggHe
69341704,2323209554856758272,610009088,4.518694,-26.60559,17.0272,5.468673,0.08529505,DB,0.002,0.9560275,0.03589228,0,-9999,-9999,-9999,-9999,31.14498,lco25m,2,60494,60497,20153.44,8.039103
70865248,2651256614304360576,2052823574,346.9706,-0.03539657,19.20505,3.078673,0.2987271,DBA/DB,0.1566305,0.2168522,0.2351509,0.005972742,-9999,-9999,-9999,-9999,16.57105,apo25m,2,59847,60612,21039.99,8.591327
58851257,1054493777740076032,900575256,165.6492,62.57106,17.98961,3.343923,0.1047684,DB,0.004005975,0.8825539,0.03864296,0.002,-9999,-9999,-9999,-9999,12.004,apo25m,1,59974,59974,24623.6,8.094437
56108153,635403371645648640,800576274,137.285,18.37589,19.2023,1.315092,0.319998,DB,0.004605812,0.8174407,0.01945867,0,-9999,-9999,-9999,-9999,21.4804,apo25m,2,60018,60380,27086.98,7.702423
79081330,3671204831915200896,1002681796,213.2424,4.933846,17.56697,3.84913,0.1150131,DB,0.0310748,0.6443444,0.02234529,0.007710657,-9999,-9999,-9999,-9999,16.76136,apo25m,2,60433,60434,29729.78,8.164308
86680315,4243701535563041280,1985112570,303.5599,2.255562,19.1505,1.989706,0.2792407,DB,0.0132254,0.6109598,0.02522425,0,-9999,-9999,-9999,-9999,8.263943,apo25m,1,59738,59738,26365.29,8.037499
76076303,3247696218734904960,649682925,55.3242,-5.555506,18.06344,3.454371,0.1369313,DB,0.004201638,0.8669865,0.02415203,0,-9999,-9999,-9999,-9999,25.43395,apo25m,2,60579,60580,20969.93,8.040276
90971837,4645119628703744000,630991709,38.96169,-70.94907,17.53835,2.748152,0.07423621,DB,0.01035174,0.8543767,0.05760141,0.002,-9999,-9999,-9999,-9999,16.29646,lco25m,2,60547,60548,35110.67,7.891721
71852523,2830924613943636224,2053687088,345.0937,18.62776,19.39607,1.156981,0.2896357,DB:,0.01742061,0.493625,0.06958037,0.002429687,-9999,-9999,-9999,-9999,9.607059,apo25m,10,59166,60578,23523.05,7.429604
111745339,6640664440626129408,1923195955,295.0269,-56.55255,18.29282,3.270207,0.1315502,DB,0.008466734,0.6862626,0.03119405,0,-9999,-9999,-9999,-9999,13.62834,lco25m,1,60109,60109,19825.31,8.091489
67464084,2106372908239960576,1716693230,285.098,45.05209,17.70836,3.605526,0.08905337,DB,0.002196923,0.9116275,0.01962284,0,-9999,-9999,-9999,-9999,25.34128,apo25m,2,60528,60529,20409.51,7.870644
92604104,4774434904937845248,685251180,72.5106,-58.16634,16.71473,5.776099,0.04730717,DB,0.002126651,0.9002269,0.01816576,0,-9999,-9999,-9999,-9999,46.04782,lco25m,2,60312,60313,20231.91,7.918259
101619437,5764369891084384128,837229100,134.6382,-1.221155,19.19466,2.415267,0.2850699,DB,2.115287E-05,0.9391058,0.02100467,0,-9999,-9999,-9999,-9999,27.03351,apo25m,2,59250,59251,29525.47,8.52401
68687139,2211018343298748800,2049927738,354.9398,67.78181,18.17459,3.564347,0.1107082,DB,0.004675438,0.541916,0.0252948,0,-9999,-9999,-9999,-9999,16.62307,apo25m,3,59892,60646,23640.56,8.142446
91563593,4660085867450146560,732235000,85.02894,-65.3019,16.50295,6.62775,0.04360301,DB,0.006190881,0.9427968,0.03071016,0,-9999,-9999,-9999,-9999,31.29397,lco25m,2,60237,60547,19999.87,7.958322
61253757,1429244238549530624,1201126944,242.541,55.03652,19.15124,1.757596,0.2184847,DB,0.004825932,0.7178817,0.1872022,0,-9999,-9999,-9999,-9999,14.6377,apo25m,3,59343,59731,34508.6,8.269518
62326276,1623866184737702912,1201189881,245.7489,58.67469,16.8476,5.449719,0.04521745,DB,0.00658992,0.651508,0.02864275,0,-9999,-9999,-9999,-9999,13.51235,apo25m,1,59984,59984,19180.2,7.836389
87135596,4262870528668692992,1896174824,290.159,-1.376077,18.6922,2.861065,0.2028736,DB,0.01137205,0.7483378,0.03979973,0.0004887218,-9999,-9999,-9999,-9999,11.85028,apo25m,1,59731,59731,28060.88,8.136535
59457221,1158590620919820160,1100113477,221.0534,3.968818,19.8136,2.56085,0.3930227,DB/DBA,0.1677567,0.2171137,0.2083914,0.008745027,-9999,-9999,-9999,-9999,13.68457,apo25m,7,59284,60061,31430.55,8.947031
