hip,source_id,Sn,Hpmag,pmRA,pmDE,Plx,ra,dec,phot_g_mean_mag,parallax,ruwe,astrometric_excess_noise,non_single_star,dist_pc
77858,6236561176888587392,7,5.3785,-12.59,-25.49,7.76,238.47457625195403,-24.53327054803085,5.3396754,7.278190242612414,1.5082054,0.7083434,0,137.39679325022186
1295,2797745549200763520,1,11.8615,714.68,-757.74,61.32,4.064320711857081,19.8570414552915,10.908869,65.10811689055409,1.5539801,0.30923524,0,15.359068081802876
38422,918766901312365440,1,7.179,55.48,-19.16,25.54,118.06519827677897,36.2698543049357,6.920683,22.370627553559906,14.743046,2.4219997,0,44.701472840035144
110012,6821219131967525504,7,7.4105,114.83,-55.74,8.33,334.22990033590924,-20.025733580603887,7.3363214,8.539690608071565,6.4202514,1.5543455,0,117.10026110955562
10889,5146821115100962176,7,8.1486,-60.72,-60.33,6.09,35.0315460131334,-14.419064851321034,7.999624,6.9143259478996715,9.018446,2.0087104,0,144.62725760039774
28296,3314733232226746112,1,5.2248,-15.13,1.66,7.32,89.7064927736685,0.5529919199175638,5.1930594,6.01043325989647,5.180849,2.8078458,0,166.3773569656483
104451,2270451142963759744,3,6.9988,-43.75,-45.46,5.33,317.38189524895535,68.49069786975204,4.64416,5.439977069004045,3.3597832,2.6847777,0,183.8243042783783
8525,560384934529559808,1,8.2173,102.15,37.74,26.33,27.48767741677521,76.9924818435848,7.8505797,25.105997527199936,32.88617,6.256778,0,39.83111999101394
10786,4693438182582186752,7,8.8353,1.56,0.7,14.33,34.721738736288884,-69.886765708055,8.586526,13.853382533679577,24.482515,3.9092855,0,72.18453670566414
765,4990516294443333504,1,4.0452,121.52,-179.83,22.62,2.3534338435390842,-45.74822211784421,3.6017847,22.608140683809946,2.3442366,0.9385372,0,44.23185497585461
54737,3758958164894003968,7,8.5298,-122.46,-21.69,13.66,168.1037530097161,-10.145622850198468,8.327218,10.806386725906375,14.851695,2.6216772,0,92.53786907354326
40015,1098326392897863680,1,6.6664,161.51,117.64,35.28,122.58738707958943,69.72560126912373,6.4029765,33.463540006349675,14.882623,2.636032,0,29.883269965169582
42728,5329348532185783936,1,6.7983,-10.86,-44.58,8.78,130.61787473709416,-47.52152839626548,6.703005,9.36811143298455,9.850624,2.2867556,0,106.74510088330726
70214,6119335400363307392,1,10.2245,-296.87,-134.59,10.12,215.47634007795108,-36.15692365124278,10.017644,11.39949412987233,1.5321381,0.16999488,0,87.72319092471865
41671,5640143223389027712,1,11.2299,-11.94,199.1,8.56,127.43593544006592,-32.21128876442454,10.993472,11.614060948111817,1.7223014,0.19863547,0,86.10252731303062
76901,6254033894121581952,1,11.8548,-2004.86,-1035.03,95.9,235.51777703710027,-19.476366652438784,10.685861,103.17978190067224,3.5523927,2.3511162,0,9.691821222908446
33160,2952868119987647744,7,4.2092,-137.26,-15.37,12.51,103.54687424806049,-12.038691754586718,3.5294538,12.06755142240872,2.5416565,0.93556017,0,82.86685218867682
551,2752836477800224896,1,11.0756,-35.78,-55.95,5.27,1.6823855551022397,8.656960943553619,10.82958,5.684725675699389,1.7948291,0.26010936,0,175.90998353266545
58577,4008115883524218752,1,8.4624,69.31,-26.95,16.07,180.20045941601657,29.187078914015274,8.18088,14.3039252777277,26.350704,5.0136266,0,69.91087974690947
27786,3443883143631158144,1,8.586,-123.51,-60.67,3.05,88.19761495874165,29.769954886775526,8.904478,9.18423297966539,12.754702,1.4862179,0,108.882255297103
17732,217018856312551040,1,6.3607,-23.47,-35.23,20.83,56.95413159311283,32.19525471217535,6.1322985,16.660842199766492,8.680784,1.9941574,0,60.02097541107588
21727,272818079284597760,7,5.2418,-5.68,-15.0,7.72,69.97779923924378,53.07946385425934,4.751208,7.784110275360213,9.689019,1.6332105,0,128.46683366824792
94347,6347165552647512960,1,7.3587,137.95,-130.33,20.88,288.0545924544375,-83.484279132426,7.138142,25.29188192043604,37.62266,7.359058,0,39.538378486260136
71368,6100058698085542912,7,8.1969,-50.78,-5.11,12.53,218.9367382665987,-42.83455977265475,7.979841,14.277957726553677,10.286148,2.3732085,0,70.03802778742178
42884,5524834518404115840,7,4.2097,-23.29,18.71,14.25,131.0996357921678,-42.64919068492049,3.825603,14.038717551015347,2.476395,0.9336818,0,71.23157769690118
64687,6138261500170931584,7,8.8355,-15.58,-57.58,8.02,198.86807479075608,-39.69345773211272,8.56681,8.89316864167129,5.382315,0.66596556,0,112.44586044553749
35205,5606936597848690432,1,4.7283,-12.3,39.03,8.05,109.1457370491467,-27.88100738625123,3.7392623,7.622758121021305,1.419569,1.0152014,0,131.1861119195553
69727,3640641093018466816,1,6.514,-41.53,-11.32,15.56,214.0888997276537,-6.621580343101537,6.3836265,16.286637539496997,17.698631,3.4770923,0,61.40002794161062
68074,3721917920256379648,7,9.0604,-75.87,-38.5,12.74,209.0652776969891,8.599610290778712,8.813051,12.871215610852609,1.7982354,0.24324901,0,77.6927393832818
61713,1543006072409943552,1,12.2807,170.04,-276.79,14.18,189.74100648111212,47.61932184495648,11.605267,22.091428633212136,1.8500746,0.23969114,0,45.26642511913445
98906,2185710338703934976,1,11.9703,-1163.29,-899.98,63.17,301.25028584217137,54.43021426747369,11.170794,60.29578669601206,1.822444,0.29465976,0,16.58490675379379
92308,6715175908398323072,1,5.5057,23.89,-19.32,9.7,282.2105218250738,-43.680117898897606,5.422138,8.895474308416244,3.8565435,1.7429281,0,112.41671498661668
90605,4046841365953532672,7,8.3003,17.73,-27.35,5.29,277.33038552969936,-31.55875331391972,8.059278,5.013931514625662,4.669963,1.0082083,0,199.44428779750888
104219,2689035322734407552,1,7.359,-10.23,-16.38,7.11,316.71803141079454,-0.9634598364775022,7.181535,6.842876698803053,12.239949,2.498078,0,146.13736941583628
1067,2769202742740232960,1,2.7544,1.98,-9.28,8.33,3.3089703843753013,15.183550741446307,2.8534293,6.947422027434692,1.9729953,1.7705437,0,143.93828330150342
76006,1375571342217505408,1,6.5026,-4.24,-25.21,13.37,232.8429207869816,36.61648027967533,6.266474,15.232974868528082,17.901976,3.3531048,0,65.64705900395325
27639,3456177332896378496,1,4.8122,36.85,-45.52,6.24,87.76035890286224,37.30536699975672,3.9505138,5.735845053078788,3.2636907,1.1524491,0,174.34222695106405
118276,1998118742882029056,1,7.2349,22.2,-32.85,8.76,359.86644281505653,57.67071654237066,7.1884003,8.73248791628276,9.549206,2.4563715,0,114.51490223483519
76256,1645687985855716480,1,7.1338,25.13,-146.65,20.61,233.6509739871987,67.80483434110614,6.8106046,19.65177454643964,12.746609,2.3510532,0,50.885989844676516
92782,2265889028699755008,1,4.9895,49.53,42.11,9.48,283.60007971689686,71.29738620421924,4.4897413,8.660058475519278,3.101903,2.118973,0,115.47266139447603
38917,5519121043675092864,7,5.3055,-17.8,30.67,11.21,119.46539056563456,-45.57753535195611,4.7689886,11.225386475615956,2.316968,1.3645405,0,89.08379254221876
4189,4986885500889922176,1,11.9967,15.26,-209.03,41.7,13.349647489079073,-41.23940269860465,11.392176,33.17696403966869,1.9471246,0.27911073,0,30.141395662494325
72571,6219380139469026432,1,4.5608,-238.76,-61.86,9.85,222.57091739863498,-27.960638796096596,3.907332,10.802398205323534,7.630007,2.359636,0,92.57203641198763
78265,6235406071207202688,1,2.8274,-11.42,-26.83,5.57,239.71290472790042,-26.114226866466353,2.8735147,9.673294610301134,2.436618,1.9359674,0,103.37739521911134
45902,5638274087975114240,1,4.7991,-12.24,-9.29,6.49,140.37322938902815,-25.96548414793062,3.9153724,5.09599661998765,1.6722648,0.97049624,0,196.2324692441463
154,2442861747380543104,7,4.412,48.39,-40.94,7.55,0.4902909138850841,-6.0142504274104995,3.2927852,7.875848526808842,1.4101105,1.2758636,0,126.97044599017735
115142,2633584305645296768,7,5.6553,201.39,-18.13,29.27,349.8508016438847,-5.124432911844384,5.470503,29.08381854300393,2.3269107,0.85026747,0,34.383380522106464
30342,5496149737501023616,1,5.6731,-39.96,-20.13,20.72,95.73228671866985,-56.370049578567894,5.560725,18.222061732075826,8.49575,3.4138935,0,54.87853211690781
98512,6673578840895390592,1,5.8732,1.94,4.42,12.29,300.20132944292317,-45.112903507389575,5.730772,14.595549235024743,12.420168,3.065677,0,68.51403697781468
97866,4197231677351639296,7,7.5412,-34.25,-42.96,13.48,298.3070500076754,-5.540449518471403,7.302352,13.982392364109872,2.842458,0.5539555,0,71.51851943211155
5589,525001344680906880,7,5.5562,23.65,-13.59,8.4,17.922754399388737,65.01879816789534,5.5537515,8.082272311599292,2.0159702,1.0281216,0,123.72758074048652
25100,4651765592415476096,7,7.4884,-2.12,66.16,5.33,80.60539134389577,-71.50620560342071,7.3968306,5.424830517347755,2.9178352,0.7715487,0,184.3375561323358
51172,5449188358930264704,1,4.4113,-81.61,10.53,8.91,156.78749738187875,-31.067735592542967,3.732725,8.90694125994316,2.8954947,0.949789,0,112.27198774704634
52737,3556832021782292864,1,5.477,-16.5,-17.93,15.84,161.7168203978927,-17.296958415776597,5.417086,17.79948991724487,2.2577765,0.9757624,0,56.18138523347005
64569,3684575344281793920,7,6.0856,-36.21,-2.62,6.99,198.5181063556993,-2.8069930496732494,4.074166,5.5525823295476675,2.829805,2.4114206,0,180.09638410556687
