PSRJ,RAJ2000,DEJ2000,pmRA,pmDE,Plx,PB,A1,Ecc,OM,medM,minM,BINCOMP,Dist,Assoc
J1327-0755,13 27 57.59,-07 55 29.8,27.0,95.0,,8.439086019,7.0,8.5e-7,45.0,0.260463,0.221958,He[blr+13],2.17,""
J1337-6423,13 37 31.88,-64 23 04.9,-6.0,-7.0,,4.785333912,10.0,0.0000199,67.0,0.949218,0.78159,CO[kjb+12],6.3,""
J1342+2822B,13 42 11.09,+28 22 40.1,,,,1.417352298,2.0,,,0.239377,0.20424,He[hrs+07],9.9,GC:M3
J1342+2822D,13 42 10.20,+28 22 36.0,,,,128.752,40.0,0.0753,-154.0,0.243747,0.207915,He[hrs+07],9.9,GC:M3
J1400-1438,14 00 30.34,-14 38 14.4,,,,9.54743,8.0,,,0.310205,0.263594,He[rsm+13],0.27,""
J1405-4656,14 05 21.43,-46 56 02.3,-44.0,20.0,,8.95641988,7.0,6.4e-6,51.0,0.245898,0.209723,He[btb+15],0.74,""
J1420-5625,14 20 03.06,-56 25 55.0,,,,40.294523,30.0,0.0035,337.3,0.437732,0.369359,CO(?)[hfs+04],1.74,""
J1431-4715,14 31 44.62,-47 15 27.6,-7.0,-8.0,,0.4497391377,0.6,0.000023,97.0,0.144855,0.124295,He[btb+15],2.42,""
J1431-5740,14 31 03.50,-57 40 11.7,,,,2.726855823,2.0,4.3e-6,95.0,0.182804,0.156496,He[bbb+13],4.07,""
J1435-6100,14 35 20.28,-61 00 58.0,,,,1.354885217,6.0,0.0000105,10.0,1.079106,0.883724,CO[clm+01],3.25,""
J1439-5501,14 39 39.74,-55 01 23.6,,,,2.11794252,10.0,0.0000499,276.8,1.375635,1.113745,CO[pld+13],0.76,""
J1446-4701,14 46 35.71,-47 01 26.8,-4.0,-2.0,,0.27766607732,0.06,0.0000211,121.4,0.021957,0.018988,UL[kjb+12],2.03,GRS:2FGL_J1446.8-4701[naa+12]
J1454-5846,14 54 10.91,-58 46 34.7,,,,12.42306553,30.0,0.001898,310.08,1.047552,0.858995,CO[clm+01],3.32,""
J1455-3330,14 55 47.97,-33 30 46.4,7.9,-2.0,0.2,76.1745676,30.0,0.00017,223.6,0.296975,0.252541,He[lnl+95],0.74,""
J1502-6752,15 02 18.61,-67 52 16.8,-6.0,-14.0,,2.48445723,0.3,0.000031,100.0,0.025313,0.021885,UL[kjb+12],11.57,""
J1514-4946,15 14 19.11,-49 46 15.5,-0.3,-30.0,,1.922653523,2.0,0.00001090429,36.287635,0.197819,0.169198,He[kcj+12],1.27,3FGL_J1514.2-4947[aaa+15]
J1518+0204B,15 18 31.46,+02 05 15.5,,,,6.858454,3.0,0.13784,-0.321,0.129664,0.111365,He[hrs+07],8.0,GC:M5
J1518+0204C,15 18 32.79,+02 04 47.8,4.67,-8.24,,0.08682882865,0.06,,,0.043114,0.037233,He(?)[prf+14],8.0,"GC:M5,OPT:COM_M5C[prf+14]"
J1518+0204D,15 18 34.00,+02 04 58.0,,,,1.221,2.0,,,0.224092,0.191371,He[hrs+07],8.0,GC:M5
J1518+0204E,15 18 34.00,+02 04 58.0,,,,1.096,1.0,,,0.169031,0.144826,He[hrs+07],8.0,GC:M5
J1518+4904,15 18 16.80,+49 04 34.3,-0.67,-8.53,,8.6340050964,20.0,0.24948451,342.554394,0.993549,0.81655,NS[jsk+08],0.7,""
J1525-5545,15 25 28.13,-55 45 49.8,,,,0.9903149542,5.0,4.8e-6,248.0,0.987334,0.811656,CO[nbb+14],3.53,""
J1528-3146,15 28 34.95,-31 46 06.8,,,,3.180345754,10.0,0.000213,296.83635,1.154862,0.942888,CO[jbo+07],0.99,""
J1529-3828,15 29 15.11,-38 28 45.8,,,,119.674809,30.0,0.0001686,282.2,0.190552,0.163053,He[nbb+14],4.85,""
