HIP,Gaia,RA_ICRS,DE_ICRS,d_pc,dpmRA,dpmDE,chi2,trif_name,trif_n_rv,trif_timespan_d,trif_rvc_std_mps,sep_arcsec
72944,1187851653287128576,223.62312578551,16.10052739893,9.947843456756228,0.0051,-0.0037,2764.0,GL569A,19,6429.285960000008,12.414794133146994,4.907752794885864
69237,6173235320077516928,212.61905722936,-29.13471963583,65.42104987700843,0.0004,0.0013,2599.0,HD123812,9,2480.1853799996898,116.53826144459072,2.2935192305205314
13460,464891250151058816,43.32833520154,60.85286084764,39.71784443314692,0.004,-0.0054,2553.0,HIP13460,2,1.0414999998174608,279.5087040013244,2.4149340583064407
81952,4352989044290732288,251.1110274994,-5.68730754605,74.69598733156054,-0.0004,-0.0003,2445.0,HD150936,4,412.9056700002402,526.7651891829192,0.5675505078192848
66740,3740787395214863360,205.19143619944,14.13554895413,77.4191550473418,-0.0001,0.0,2404.0,HD119058,4,8.987250000238419,21.99192810252586,0.16205381511605937
89620,4052127925286198400,274.3496605883,-28.28963721597,30.86429279102713,-0.0002,0.0015,2388.0,HD167665,30,8807.80560999969,396.34508398950567,3.253327279236051
6512,319946961581873280,20.90746643964,34.24642742721,55.37895821103813,0.0004,-0.0029,2361.0,HD8375,23,3307.9964299998246,3863.9691191516804,4.461829267211583
90365,4478524169500496000,276.59052139446,8.61363659098,35.36142916752124,-0.0016,-0.0062,2346.0,HD169889,8,4736.054960000329,170.2412934186042,8.305686975222146
83458,4443306468450589184,255.85623385854,9.02436334031,83.88909861163542,-0.0001,-0.0003,2230.0,HD154144,24,1351.1117400000803,44.11846336942969,0.7700623430683292
103785,6912280135225070464,315.46874147438,-4.66615440412,116.3724383517008,0.0,0.0,2218.0,HD200156,4,405.9987900000997,55.52873398745914,0.8628489740866774
64797,3936909723803146368,199.21564810709,17.01601850959,10.98688605280737,-0.0142,-0.0027,2205.0,HD115404A,36,7637.992519999854,36.56156444278565,10.92800528891967
46199,819208081922477568,141.29350071037,46.0983512981,27.980793983010063,-0.0001,-0.0032,2181.0,HIP46199,4,1065.267769999802,191.46797479539495,3.5558011353667713
57858,3911652051927377792,177.98985460161,8.82975600981,95.83776583000297,0.0,0.0,2150.0,HD103047,5,1188.8024600003846,120.79925156763183,0.8269106661059841
94931,2101486923385239808,289.75285517948,41.63174235397,36.552646777153136,0.0048,-0.0547,2103.0,HIP94931,199,3569.234569999855,20.315727131534096,10.422665331823858
42214,5643762781311698048,129.09495987159,-30.03732333188,36.70519488623225,0.0042,-0.0002,2040.0,HD73256,19,5544.7775799999945,166.97186391087374,3.1300436185715093
70623,3641697998570813952,216.70049287466,-5.17842344222,73.18876113384029,-0.0019,-0.0015,1977.0,HD126614,104,8154.652650000062,62.954411671479164,3.3379185103594975
5189,2533207140366790272,16.60747015979,-0.74960712555,81.87258987563554,-0.0002,0.0001,1968.0,HD6558,30,7055.701140000019,134.66185641157873,1.2572302013302465
20802,4891193148499627520,66.86104348737,-29.19613934091,91.4026653017202,-0.0004,-0.0009,1943.0,HD28388,14,6168.078929999843,2714.5117640013004,1.974434615590028
22938,3288709273762668544,74.03700722295,7.90448648415,60.00240009600384,-0.0009,-0.0005,1938.0,HD31423,24,2552.0022599999793,619.5153751589243,1.535636248062019
23516,2960883628470038400,75.84268620971,-23.24957518663,24.104982017683415,-0.0396,-0.0182,1901.0,HIP23516,4,1418.14925999986,9438.01916235384,5.630683370255107
28029,3343712755261231616,88.91280192151,13.0018514988,141.00195992724298,-0.0002,0.0,1885.0,HD39828,20,5145.910860000178,247.5338813786275,0.5040593025362837
79619,1653185486926274048,243.70930274652,70.92837607543,40.13549743935526,0.0002,-0.0031,1879.0,HD147231,40,8102.653849999886,194.45185239196368,4.6460182298299655
71254,1281025127618664832,218.57261720038,28.48551501507,118.4567455193736,-0.0004,0.0006,1858.0,HD128095,14,5203.812140000053,1011.0871361996566,1.912883383686971
96561,2078276439080325888,294.4658689859,43.62449713825,42.447163892744506,-0.0008,0.0006,1858.0,HIP96561,8,1173.070850000251,7.32372506579034,3.507066929969453
71142,1172180451495588736,218.24176862222,6.93282288332,103.260981805415,0.0001,0.0001,1813.0,HD127741,7,1883.8647700003348,40.181055630969276,0.7878915857388927
78193,6250226147909726464,239.49043619469,-17.09048167718,68.71293795908832,-0.0005,-0.0006,1727.0,HD142943,6,208.21973000001162,36.722217762094196,2.007972492903862
58093,3602296587073060224,178.71706962679,-1.45280407819,59.211889747461285,-0.001,0.0025,1701.0,HD103459,35,5099.049600000028,1537.2963687235958,5.071643450446046
