run,camcol,field,ra,dec,mjd_r,mjd_g,mjd_i
5224,3,374,212.09774287533,22.2258725326059,53462.24822969,53462.25154675,53462.24905896
5224,3,375,212.256417566489,22.1969839378277,53462.24864432,53462.25196138,53462.24947359
5224,3,376,212.415023746175,22.167936131719,53462.24905896,53462.25237602,53462.24988822
5224,3,377,212.573572654245,22.1387312223955,53462.24947359,53462.25279065,53462.25030285
5224,3,378,212.732063056496,22.1093717571599,53462.24988822,53462.25320528,53462.2507174901
5224,3,379,212.890493780945,22.0798579983828,53462.25030285,53462.2536199099,53462.25113212
5224,3,380,213.04883862581,22.0501701340218,53462.2507174901,53462.25403455,53462.25154675
5224,3,381,213.207106136188,22.0203131865175,53462.25113212,53462.25444918,53462.25196138
5224,3,382,213.365306406591,21.9903027559,53462.25154675,53462.25486381,53462.25237602
5224,3,383,213.52345071938,21.9601427270434,53462.25196138,53462.2552784401,53462.25279065
5224,3,384,213.681540965817,21.929834932917,53462.25237602,53462.25569308,53462.25320528
5224,3,385,213.839559095767,21.899383692513,53462.25279065,53462.25610771,53462.2536199099
5224,3,386,213.997516847369,21.8687951225159,53462.25320528,53462.25652234,53462.25403455
5224,3,387,214.1553960091,21.8380599130097,53462.2536199099,53462.25693697,53462.25444918
5224,3,388,214.313216079221,21.8071704378266,53462.25403455,53462.25735161,53462.25486381
5224,3,389,214.470953823444,21.7761136175624,53462.25444918,53462.2577662401,53462.2552784401
5224,3,390,214.628629568638,21.7449079722666,53462.25486381,53462.25818087,53462.25569308
5224,3,391,214.786239175721,21.7135428362051,53462.2552784401,53462.2585955,53462.25610771
5224,3,392,214.943776242521,21.6820277112122,53462.25569308,53462.25901014,53462.25652234
5224,3,393,215.10122472883,21.6503608070621,53462.25610771,53462.25942477,53462.25693697
5224,3,394,215.258600935039,21.6185492870733,53462.25652234,53462.2598394,53462.25735161
5224,3,395,215.415910734785,21.5865846513793,53462.25693697,53462.26025403,53462.2577662401
5224,3,396,215.573160571017,21.5544677065766,53462.25735161,53462.26066867,53462.25818087
5224,3,397,215.730349991881,21.5222045407865,53462.2577662401,53462.2610833,53462.2585955
5224,3,398,215.887464868139,21.4898002602892,53462.25818087,53462.26149793,53462.25901014
5224,3,399,216.044509843831,21.4572477197484,53462.2585955,53462.26191256,53462.25942477
5224,3,400,216.20148565506,21.4245406229396,53462.25901014,53462.26232719,53462.2598394
5224,3,401,216.358397076697,21.3916862243134,53462.25942477,53462.26274183,53462.26025403
5224,3,402,216.515237528141,21.3586827451394,53462.2598394,53462.26315646,53462.26066867
5224,3,403,216.67199944711,21.3255282758658,53462.26025403,53462.2635710901,53462.2610833
5224,3,404,216.828680955845,21.2922199586927,53462.26066867,53462.26398572,53462.26149793
5224,3,405,216.985289312582,21.2587641214559,53462.2610833,53462.26440036,53462.26191256
5224,3,406,217.141831358737,21.2251627523344,53462.26149793,53462.26481499,53462.26232719
5224,3,407,217.298292602703,21.1914174914918,53462.26191256,53462.26522962,53462.26274183
5224,3,408,217.454690170828,21.1575316322383,53462.26232719,53462.26564425,53462.26315646
5224,3,409,217.611011523285,21.1235088004692,53462.26274183,53462.26605889,53462.2635710901
5224,3,410,217.767266943573,21.0893462254027,53462.26315646,53462.26647352,53462.26398572
5224,3,411,217.923452738242,21.0550417890563,53462.2635710901,53462.26688815,53462.26440036
5224,3,412,218.079572025011,21.0205985092213,53462.26398572,53462.26730278,53462.26481499
5224,3,413,218.23560431616,20.9860264310348,53462.26440036,53462.26771742,53462.26522962
5224,3,414,218.391555630967,20.9513128860147,53462.26481499,53462.26813205,53462.26564425
5224,3,415,218.547422639516,20.9164490522968,53462.26522962,53462.26854668,53462.26605889
5224,3,416,218.703212632701,20.8813853178415,53462.26564425,53462.26896131,53462.26647352
5224,3,417,218.858921669252,20.8461732369949,53462.26605889,53462.26937595,53462.26688815
5224,3,418,219.014537438835,20.8108103257352,53462.26647352,53462.26979058,53462.26730278
5224,3,419,219.170070993002,20.7752733393136,53462.26688815,53462.2702052099,53462.26771742
5224,3,420,219.325616158497,20.7396506563633,53462.26730278,53462.27061984,53462.26813205
5224,3,421,219.48108844119,20.7039213804392,53462.26771742,53462.27103448,53462.26854668
5224,3,422,219.636498811968,20.6680568827216,53462.26813205,53462.27144911,53462.26896131
5224,3,423,219.791831338518,20.6320445587167,53462.26854668,53462.27186374,53462.26937595
5224,3,424,219.947080100811,20.5958892798176,53462.26896131,53462.27227837,53462.26979058
5224,3,425,220.102239425184,20.5595979801338,53462.26937595,53462.27269301,53462.2702052099
5224,3,426,220.257310447203,20.5231696817682,53462.26979058,53462.2731076401,53462.27061984
5224,3,427,220.412288026019,20.4865944730575,53462.2702052099,53462.27352227,53462.27103448
5224,3,428,220.567175299452,20.4498583731271,53462.27061984,53462.2739369,53462.27144911
5224,3,429,220.722017813435,20.4129847699642,53462.27103448,53462.27435154,53462.27186374
5224,3,430,220.876808821935,20.3759902683307,53462.27144911,53462.27476617,53462.27227837
5224,3,431,221.031522725125,20.3388735123891,53462.27186374,53462.2751808,53462.27269301
5224,3,432,221.186141493728,20.3016318882128,53462.27227837,53462.27559543,53462.2731076401
5224,3,433,221.340681873294,20.2642417420106,53462.27269301,53462.27601007,53462.27352227
5224,3,434,221.495158373367,20.2267083218445,53462.2731076401,53462.2764247,53462.2739369
5224,3,435,221.649612629909,20.1889858721567,53462.27352227,53462.27683933,53462.27435154
5224,3,436,221.803983255709,20.1511395093384,53462.2739369,53462.27725396,53462.27476617
5224,3,437,221.958242367294,20.1131947479538,53462.27435154,53462.2776685901,53462.2751808
5224,3,438,222.112407090034,20.0751267898138,53462.27476617,53462.27808323,53462.27559543
5224,3,439,222.266493171897,20.0369320331009,53462.2751808,53462.27849786,53462.27601007
5224,3,440,222.420512787414,19.9985842117923,53462.27559543,53462.27891249,53462.2764247
5224,3,441,222.574464470263,19.9600770620582,53462.27601007,53462.27932712,53462.27683933
5224,3,442,222.728334205183,19.9214232409551,53462.2764247,53462.27974176,53462.27725396
5224,3,443,222.88213576947,19.8826196904988,53462.27683933,53462.2801563901,53462.2776685901
5224,4,364,210.590116997691,22.9188838495309,53462.24408337,53462.24740043,53462.24491263
5224,4,365,210.749910522985,22.8914774979428,53462.244498,53462.24781506,53462.24532727
5224,4,366,210.909630104788,22.8639089005299,53462.24491263,53462.24822969,53462.2457419
5224,4,367,211.069296697343,22.8361780779745,53462.24532727,53462.24864432,53462.24615653
5224,4,368,211.228896973816,22.8082909029821,53462.2457419,53462.24905896,53462.24657116
5224,4,369,211.388427729645,22.7802567174263,53462.24615653,53462.24947359,53462.24698579
5224,4,370,211.547897735108,22.7520730197235,53462.24657116,53462.24988822,53462.24740043
5224,4,371,211.7072933,22.7237354684796,53462.24698579,53462.25030285,53462.24781506
5224,4,372,211.866642514755,22.6952235164739,53462.24740043,53462.2507174901,53462.24822969
5224,4,373,212.025916512101,22.6665636590766,53462.24781506,53462.25113212,53462.24864432
5224,4,374,212.185117876817,22.6377483935519,53462.24822969,53462.25154675,53462.24905896
5224,4,375,212.344244121856,22.6087770562697,53462.24864432,53462.25196138,53462.24947359
5224,4,376,212.503303082496,22.5796433241668,53462.24905896,53462.25237602,53462.24988822
5224,4,377,212.662305322263,22.5503493650388,53462.24947359,53462.25279065,53462.25030285
5224,4,378,212.821247407532,22.5208982737271,53462.24988822,53462.25320528,53462.2507174901
5224,4,379,212.980130605001,22.4912922621238,53462.25030285,53462.2536199099,53462.25113212
5224,4,380,213.138927333732,22.4615142048451,53462.2507174901,53462.25403455,53462.25154675
5224,4,381,213.297652902129,22.4315757791296,53462.25113212,53462.25444918,53462.25196138
5224,4,382,213.456306500109,22.4014840463123,53462.25154675,53462.25486381,53462.25237602
5224,4,383,213.614900948074,22.3712409757874,53462.25196138,53462.2552784401,53462.25279065
5224,4,384,213.773435914952,22.3408487422728,53462.25237602,53462.25569308,53462.25320528
5224,4,385,213.931895642334,22.3103115696429,53462.25279065,53462.25610771,53462.2536199099
5224,4,386,214.090292806318,22.2796324601576,53462.25320528,53462.25652234,53462.25403455
5224,4,387,214.248613292087,22.2488041118211,53462.2536199099,53462.25693697,53462.25444918
5224,4,388,214.406870972114,22.2178170698625,53462.25403455,53462.25735161,53462.25486381
5224,4,389,214.565041766146,22.1866636205085,53462.25444918,53462.2577662401,53462.2552784401
5224,4,390,214.723151889813,22.1553612810852,53462.25486381,53462.25818087,53462.25569308
5224,4,391,214.881199828537,22.1239028115624,53462.2552784401,53462.2585955,53462.25610771
5224,4,392,215.039177352829,22.0922972077496,53462.25569308,53462.25901014,53462.25652234
5224,4,393,215.197066675164,22.0605431245217,53462.25610771,53462.25942477,53462.25693697
5224,4,394,215.354881910285,22.028646329449,53462.25652234,53462.2598394,53462.25735161
5224,4,395,215.512627513598,21.9965900937354,53462.25693697,53462.26025403,53462.2577662401
5224,4,396,215.670309262889,21.9643803928458,53462.25735161,53462.26066867,53462.25818087
5224,4,397,215.827924052046,21.932023132445,53462.2577662401,53462.2610833,53462.2585955
5224,4,398,215.985462192374,21.8995235581804,53462.25818087,53462.26149793,53462.25901014
5224,4,399,216.142927380205,21.866875591102,53462.2585955,53462.26191256,53462.25942477
5224,4,400,216.300325176069,21.8340732737074,53462.25901014,53462.26232719,53462.2598394
5224,4,401,216.457656673408,21.8011232431552,53462.25942477,53462.26274183,53462.26025403
5224,4,402,216.614916977366,21.7680263302436,53462.2598394,53462.26315646,53462.26066867
5224,4,403,216.772099699986,21.7347832184868,53462.26025403,53462.2635710901,53462.2610833
5224,4,404,216.929201281916,21.7013865985912,53462.26066867,53462.26398572,53462.26149793
5224,4,405,217.086232559032,21.6678418031844,53462.2610833,53462.26440036,53462.26191256
5224,4,406,217.243196434028,21.6341470216687,53462.26149793,53462.26481499,53462.26232719
5224,4,407,217.400076599035,21.6003070938615,53462.26191256,53462.26522962,53462.26274183
5224,4,408,217.556892784453,21.5663237165007,53462.26232719,53462.26564425,53462.26315646
5224,4,409,217.713635547095,21.5322036664665,53462.26274183,53462.26605889,53462.2635710901
5224,4,410,217.870309451,21.497944552016,53462.26315646,53462.26647352,53462.26398572
