ra,dec,mjd,mag_auto,filter,class_star
249.4990398511429,-28.94330815634378,58617.20833692234,17.362137,i,0.983962
249.49919216966902,-28.944528805895025,58617.20833692234,20.3089,i,0.983606
249.49794904540687,-28.93400725985881,58617.20833692234,22.742731,i,0.521048
249.49760155907455,-28.93517918898084,58617.20833692234,22.183172,i,0.932728
249.4972099047938,-28.934366605072285,58617.20833692234,21.575329,i,0.968644
249.4968283375069,-28.941736464045473,58617.20833692234,20.61215,i,0.983893
249.49635949248938,-28.94118163906283,58617.20833692234,20.66604,i,0.059611
249.49643416471014,-28.944386768414393,58617.20833692234,21.342178,i,0.963866
249.49639782418816,-28.93974526707677,58617.20833692234,22.722673,i,0.784312
249.49600598412087,-28.94359919788332,58617.20833692234,21.614157,i,0.971037
249.49599663798625,-28.94048057363113,58617.20833692234,22.859219,i,0.547804
249.49500067947517,-28.94381632597521,58617.20833692234,22.348545,i,0.799955
249.49525047101568,-28.935944406876523,58617.20833692234,21.351982,i,0.950597
249.49461128576056,-28.936149204997502,58617.20833692234,21.239174,i,0.531707
249.49444274699724,-28.938946807643486,58617.20833692234,16.890697,i,0.992032
249.49433979589756,-28.942029298963604,58617.20833692234,21.995827,i,0.937365
249.4938681755553,-28.93785922669737,58617.20833692234,22.103796,i,0.788398
249.49384527957739,-28.941015033636592,58617.20833692234,22.972235,i,0.69593
249.49262749379457,-28.93936355051667,58617.20833692234,19.097752,i,0.983127
249.5042013416103,-28.93915307043615,58617.21687062364,19.911163,i,0.884547
249.50331050739686,-28.936161707139735,58617.21687062364,20.527977,i,0.001785
249.5032324978961,-28.941204931768965,58617.21687062364,21.337221,i,0.971623
249.50315968636045,-28.93957290439299,58617.21687062364,20.33959,i,0.980539
249.50313884482347,-28.93784754426933,58617.21687062364,20.329006,i,0.976413
249.50259726176049,-28.942569423865727,58617.21687062364,21.592697,i,0.962111
249.50267082823055,-28.936702056897275,58617.21687062364,22.396677,i,0.596402
249.50118875403615,-28.93935894288193,58617.21687062364,20.907398,i,0.979443
249.4997092345167,-28.93688426067939,58617.21687062364,20.707493,i,0.979804
249.49726758974043,-28.93761472476128,58617.21687062364,22.113121,i,0.677691
249.49980769237447,-28.93601564440025,58617.21687062364,19.166805,i,0.983849
249.4985771010187,-28.93922924067644,58617.21687062364,18.843773,i,0.983302
249.49887796374415,-28.93591218681602,58617.21687062364,20.889975,i,0.962249
249.49865823974272,-28.938044127682396,58617.21687062364,19.610878,i,0.054189
249.49816644579658,-28.936783868007478,58617.21687062364,16.316486,i,0.985031
249.49885385361677,-28.93436128840789,58617.21687062364,20.694958,i,0.975723
249.5002768248659,-28.934908207933386,58617.21687062364,19.003222,i,0.982952
249.4995501556644,-28.934615335171095,58617.21687062364,22.11199,i,0.71682
249.50050890791016,-28.93986701946064,58617.21687062364,22.189486,i,0.879297
249.50029397360876,-28.943256673130183,58617.21687062364,22.078934,i,0.873284
249.50030220396167,-28.938148598808237,58617.21687062364,16.134262,i,0.999243
249.49903134052886,-28.94332064220437,58617.21687062364,17.344988,i,0.982835
249.49802324647231,-28.94326965326905,58617.21687062364,20.977718,i,0.998698
