ra,dec,mjd,mag_auto,magerr_auto,filter,fwhm,class_star,exposure
244.125302700051,-26.750545011519684,56353.30865541799,20.527273,0.045835,r,1.725634,0.954972,tu2040740
244.12383656143535,-26.74244927570439,56353.30865541799,18.351393,0.008557,r,1.442918,0.982978,tu2040740
244.11915423354523,-26.74539936681372,56353.30865541799,19.678888,0.026203,r,1.518668,0.97942,tu2040740
244.12942005051858,-26.74674107362107,56794.28146007331,21.570143,0.136012,r,1.441024,0.521328,c4d_140517_064840_ooi_r_v1
244.12898020240084,-26.743485821626972,56794.28146007331,20.56085,0.042442,r,1.036618,0.981439,c4d_140517_064840_ooi_r_v1
244.1287492379078,-26.74520018535002,56794.28146007331,19.335169,0.016179,r,0.970069,0.981801,c4d_140517_064840_ooi_r_v1
244.1276710028849,-26.744189194246335,56794.28146007331,22.147509,0.118815,r,1.528749,0.620882,c4d_140517_064840_ooi_r_v1
244.1253020802294,-26.750552302703966,56794.28146007331,20.49011,0.03983,r,1.070637,0.976813,c4d_140517_064840_ooi_r_v1
244.1254748989173,-26.745397947852116,56794.28146007331,20.16221,0.03248,r,1.061795,0.978308,c4d_140517_064840_ooi_r_v1
244.125115117603,-26.74626243459396,56794.28146007331,22.583206,0.159895,r,1.434419,0.593774,c4d_140517_064840_ooi_r_v1
244.12384566198588,-26.742451001498736,56794.28146007331,18.351656,0.007216,r,0.97982,0.983623,c4d_140517_064840_ooi_r_v1
244.1232997869952,-26.74456397117061,56794.28146007331,22.133806,0.112884,r,1.933382,0.415739,c4d_140517_064840_ooi_r_v1
244.11915344594578,-26.74540782484442,56794.28146007331,19.691357,0.022026,r,0.994519,0.982225,c4d_140517_064840_ooi_r_v1
244.1191413533592,-26.745419680935843,56814.28815614665,19.693113,0.01338,r,1.421137,0.981999,c4d_140606_065730_ooi_r_v1
244.12938253925367,-26.746747531122114,56814.28815614665,21.772047,0.104133,r,2.119908,0.423744,c4d_140606_065730_ooi_r_v1
244.1287461057034,-26.74519838207649,56814.28815614665,19.332003,0.010438,r,1.374483,0.982424,c4d_140606_065730_ooi_r_v1
244.12898169796188,-26.743486974257653,56814.28815614665,20.543543,0.026922,r,1.467864,0.980924,c4d_140606_065730_ooi_r_v1
244.12764166195697,-26.744215980536694,56814.28815614665,22.284058,0.152622,r,2.088588,0.881956,c4d_140606_065730_ooi_r_v1
244.12545759400854,-26.745389910178233,56814.28815614665,20.22339,0.019576,r,1.395851,0.981702,c4d_140606_065730_ooi_r_v1
244.12514282451713,-26.746310474232256,56814.28815614665,22.332878,0.098918,r,1.669961,0.727648,c4d_140606_065730_ooi_r_v1
244.1253109002474,-26.75055150425041,56814.28815614665,20.504599,0.02346,r,1.514291,0.980963,c4d_140606_065730_ooi_r_v1
244.1238381298207,-26.74245802837091,56814.28815614665,18.376383,0.005657,r,1.374619,0.983154,c4d_140606_065730_ooi_r_v1
244.1235990331153,-26.746030947340515,56814.28815614665,23.229452,0.157303,r,1.208005,0.435149,c4d_140606_065730_ooi_r_v1
244.12326178646356,-26.744531438642937,56814.28815614665,22.016233,0.095236,r,3.033842,0.335096,c4d_140606_065730_ooi_r_v1
244.12383488297036,-26.742461973422067,57890.18978781998,17.473654,0.009697,Y,0.979609,0.982901,c4d_170517_043642_ooi_Y_v1
244.12940471612038,-26.74675680584381,57890.18978781998,21.081772,0.145153,Y,1.228111,0.561402,c4d_170517_043642_ooi_Y_v1
244.12898238947915,-26.743497781901716,57890.18978781998,19.515585,0.054376,Y,1.344377,0.913017,c4d_170517_043642_ooi_Y_v1
244.12874424331187,-26.74520308773593,57890.18978781998,18.155066,0.016608,Y,0.985137,0.982112,c4d_170517_043642_ooi_Y_v1
244.12764493755728,-26.744189968491817,57890.18978781998,20.534042,0.159237,Y,1.385294,0.915212,c4d_170517_043642_ooi_Y_v1
244.1254728121759,-26.745396372604496,57890.18978781998,18.190437,0.017103,Y,0.987395,0.981677,c4d_170517_043642_ooi_Y_v1
244.12531932845127,-26.750556369018835,57890.18978781998,19.380291,0.048174,Y,1.14786,0.971978,c4d_170517_043642_ooi_Y_v1
244.12512200235892,-26.746320556185996,57890.18978781998,20.163412,0.102341,Y,1.413867,0.951367,c4d_170517_043642_ooi_Y_v1
244.12359822227097,-26.746042309401656,57890.18978781998,20.163303,0.10443,Y,1.415258,0.914517,c4d_170517_043642_ooi_Y_v1
244.12939555375962,-26.74673632929181,57890.198047768325,21.07143,0.189782,Y,1.778892,0.619408,c4d_170517_044833_ooi_Y_v1
244.1289762068087,-26.743476111352884,57890.198047768325,19.669598,0.052277,Y,1.128094,0.973248,c4d_170517_044833_ooi_Y_v1
244.1287370210313,-26.74518966128379,57890.198047768325,18.178562,0.016873,Y,0.925774,0.981778,c4d_170517_044833_ooi_Y_v1
244.12763905214257,-26.744196700551257,57890.198047768325,21.081043,0.181238,Y,1.237728,0.912479,c4d_170517_044833_ooi_Y_v1
244.1254744999559,-26.745393315348036,57890.198047768325,18.169827,0.016678,Y,0.951258,0.981771,c4d_170517_044833_ooi_Y_v1
244.1253142603723,-26.750545963448964,57890.198047768325,19.441242,0.043203,Y,1.081504,0.977391,c4d_170517_044833_ooi_Y_v1
244.12383641143145,-26.742456748516847,57890.198047768325,17.498219,0.009827,Y,0.941231,0.980853,c4d_170517_044833_ooi_Y_v1
244.12363666472226,-26.74601048675188,57890.198047768325,20.487442,0.08865,Y,1.107524,0.885093,c4d_170517_044833_ooi_Y_v1
244.12334584175665,-26.747751486845885,57890.198047768325,21.329208,0.166903,Y,1.216369,0.446448,c4d_170517_044833_ooi_Y_v1
