ra,dec,mjd,mag_auto,filter,class_star
249.3949536073675,-28.92911296962829,56814.30355290463,19.146769,r,0.900809
249.39420572180916,-28.93359088854184,56814.30355290463,21.35026,r,0.917692
249.39144083393967,-28.928671127431002,56814.30355290463,21.092901,r,0.365808
249.39263760405967,-28.929221470840535,56814.30355290463,20.001554,r,0.958109
249.39149006724247,-28.92955108901996,56814.30355290463,20.45799,r,0.819692
249.3926161133581,-28.932353300420555,56814.30355290463,20.089663,r,0.981448
249.39191070213815,-28.931762675806876,56814.30355290463,19.829943,r,0.982091
249.3925846408832,-28.927953541148835,56814.30355290463,21.516262,r,0.173987
249.39104596582337,-28.93322261676343,56814.30355290463,22.85567,r,0.521677
249.4017067432946,-28.929217914057432,58643.24001601804,22.466269,g,0.819016
249.40037684216963,-28.93139276028148,58643.24001601804,19.6207,g,0.983261
249.40019210320108,-28.934403332098807,58643.24001601804,22.46688,g,0.833637
249.39975853004353,-28.92977841762289,58643.24001601804,21.538376,g,0.972768
249.3978673911694,-28.925056789627074,58643.24001601804,18.100378,g,0.983898
249.39801955998436,-28.92944784153817,58643.24001601804,20.025238,g,0.982644
249.39747266621316,-28.930679049002748,58643.24001601804,21.192038,g,0.983276
249.39528471043127,-28.935280579865914,58643.24001601804,21.22661,g,0.918228
249.39499188400853,-28.92917232469883,58643.24001601804,20.134039,g,0.981278
249.39420316082976,-28.933612423838003,58643.24001601804,22.591923,g,0.830676
249.39261247388362,-28.932374981699283,58643.24001601804,20.788225,g,0.979686
249.39191759750815,-28.931771399856867,58643.24001601804,21.298174,g,0.97511
249.3926337029185,-28.929235721948938,58643.24001601804,20.806215,g,0.980479
249.3926324399226,-28.9279307429718,58643.24001601804,22.878506,g,0.408267
249.39147054574045,-28.929601542231147,58643.24001601804,21.149704,g,0.925791
249.39145413395048,-28.92868025170818,58643.24001601804,22.00771,g,0.585466
249.39142891172136,-28.926782645456633,58643.24001601804,22.805706,g,0.577168
249.4017511278939,-28.929220553636114,56417.25929708313,20.871418,r,0.981078
249.3978773748246,-28.925049742491385,56417.25929708313,17.456568,r,0.984074
249.4003771175343,-28.931385574811106,56417.25929708313,18.724861,r,0.981132
249.39789315290764,-28.93508432284115,56417.25929708313,21.828468,r,0.147779
249.40017509666546,-28.934391482883182,56417.25929708313,21.780617,r,0.973032
249.3997591372874,-28.929772995476398,56417.25929708313,20.64262,r,0.981047
249.39818856387444,-28.93365491906476,56417.25929708313,19.628494,r,0.982227
249.39802759752152,-28.92943229907451,56417.25929708313,18.604118,r,0.983303
249.39746754529205,-28.930674512434045,56417.25929708313,20.399609,r,0.980401
249.39681528993913,-28.927139167841137,56417.25929708313,23.174746,r,0.49206
249.39669618963893,-28.926035688589355,56417.25929708313,22.419432,r,0.724437
249.39628836080482,-28.9266951711439,56417.25929708313,22.454054,r,0.52747
249.39563136769493,-28.934985418328388,56417.25929708313,22.34527,r,0.802407
249.39525097965918,-28.935319974962113,56417.25929708313,20.50142,r,0.780655
249.39559572712972,-28.930159693787584,56417.25929708313,22.396193,r,0.743293
249.3949482227625,-28.929103095249094,56417.25929708313,19.14579,r,0.907706
249.3942157969383,-28.933586994687122,56417.25929708313,21.474377,r,0.96459
249.39265468066625,-28.929222027739524,56417.25929708313,20.041449,r,0.955869
249.39149819300178,-28.92958481016821,56417.25929708313,20.38888,r,0.892053
249.39145710106948,-28.92673240145228,56417.25929708313,22.009047,r,0.897073
249.39262586990893,-28.93236154416964,56417.25929708313,20.113667,r,0.982319
249.3919279884427,-28.931763588162394,56417.25929708313,19.790474,r,0.982529
249.39263150935585,-28.927948875982075,56417.25929708313,21.47281,r,0.139036
249.3914730585128,-28.928681972005393,56417.25929708313,21.243042,r,0.372095
249.40242955906083,-28.929965340069273,58617.20833692234,22.828592,i,0.539207
249.40173766698805,-28.9292220355061,58617.20833692234,19.610212,i,0.982561
249.400126982414,-28.92635824436019,58617.20833692234,20.707611,i,0.611705
249.40037749615473,-28.93140092974457,58617.20833692234,18.246191,i,0.984224
249.40016808845158,-28.934398534220065,58617.20833692234,21.096355,i,0.980554
249.39974850779345,-28.92977333997809,58617.20833692234,20.150227,i,0.979408
249.39954204812722,-28.925495763521877,58617.20833692234,19.871925,i,0.981831
249.39785731679927,-28.92505493465235,58617.20833692234,17.102106,i,0.986775
249.39967641936093,-28.93207839164435,58617.20833692234,21.87322,i,0.433769
249.3993166110649,-28.933084287469786,58617.20833692234,21.844736,i,0.955819
249.39819168535993,-28.933665459864105,58617.20833692234,19.180742,i,0.983577
249.39860651311062,-28.932814803955864,58617.20833692234,22.69052,i,0.858506
249.39802305934438,-28.92944274888132,58617.20833692234,17.90623,i,0.997197
249.39789906786328,-28.935051848404253,58617.20833692234,21.257912,i,0.923142
249.39818652413496,-28.931367313608124,58617.20833692234,22.449982,i,0.896684
249.39745873771315,-28.93067387676596,58617.20833692234,19.918938,i,0.981924
249.39695759246982,-28.928842624286997,58617.20833692234,22.066502,i,0.263473
249.39682442421676,-28.927120765250038,58617.20833692234,22.151405,i,0.914167
249.39668080273745,-28.926035220556706,58617.20833692234,21.47745,i,0.969802
249.3964025694484,-28.928400610484232,58617.20833692234,22.33685,i,0.643817
249.39628286712497,-28.926689103700554,58617.20833692234,21.856264,i,0.960297
249.39560478387597,-28.93445534429922,58617.20833692234,22.265244,i,0.809566
249.3956388936393,-28.93497104186395,58617.20833692234,20.622768,i,0.97645
249.39521658672712,-28.93533926137573,58617.20833692234,20.392458,i,0.978844
249.39560209695065,-28.930165599089907,58617.20833692234,21.287357,i,0.978838
249.39549699687072,-28.927169206561768,58617.20833692234,22.109074,i,0.804734
249.39491845583518,-28.929102279063173,58617.20833692234,18.63678,i,0.919222
249.3944364284142,-28.927798999297874,58617.20833692234,21.797144,i,0.132555
249.39486534357255,-28.934429686214347,58617.20833692234,22.67319,i,0.579049
249.394216363578,-28.93359394924997,58617.20833692234,20.662878,i,0.978269
249.3936294807812,-28.93036700795938,58617.20833692234,22.435526,i,0.779397
249.39261424830445,-28.932375074460825,58617.20833692234,19.670025,i,0.981327
249.3919205011874,-28.931760002368655,58617.20833692234,18.863005,i,0.983349
249.3926403699172,-28.929217705999246,58617.20833692234,19.707558,i,0.98354
