gaia,set
1104877351896633600,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1104936210128449664,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1105433876580322176,shahaf2024_nonclassI
1105580283426107648,shahaf2024_nonclassI
1105596157624820352,shahaf2024_nonclassI
1105703119487330816,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1105732806301350400,shahaf2024_nonclassI
1105775171860070528,shahaf2024_nonclassI
1105807263855544448,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1106140450240172160,shahaf2024_nonclassI
1106235454916679040,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1106423780642020864,shahaf2024_nonclassI
1106478859303780352,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1106515727302894080,amrf3_halbwachs2023;shahaf2024_nonclassI
1106521087422107648,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1106551117833549568,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1106564243253403392,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1106591524885479808,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1106668696856950912,shahaf2024_nonclassI
1107213436148857728,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1107690074438959872,shahaf2024_nonclassI
1107796417828789504,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1107897263663370880,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1107977528012389376,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1108234951171601408,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
