gaia,n,nnight,base,insts,chi2_const,dof,drv,set
1409662692372799104,3,3,4.0,APOGEE,0.396928152895245,2,0.1966600000000014,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1410272856902767104,2,2,3.0310300925921183,BOSS,0.755437778143309,1,6.532089999999997,shahaf2024_nonclassI
1415273057828860928,2,2,0.9423958333354676,BOSS,0.2769030257007654,1,3.3193100000000015,shahaf2024_nonclassI
1417428134979685760,4,4,9.928020833336632,BOSS,0.731619705939301,3,5.227735999999999,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1419393477653996800,3,3,8.90996527778043,BOSS,0.6703211957365957,2,7.151980000000002,shahaf2024_nonclassI
1419754594208939776,5,5,3149.7051504629635,APOGEE+BOSS,2.2118355980852975,4,6.6085650000000005,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1420328990250391680,2,2,27.959490740737238,BOSS,0.22349165574617985,1,2.6222999999999956,shahaf2024_nonclassI
1422044022231502464,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1422804368882095872,1,1,0.0,BOSS,0.0,0,0.0,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1422986338056731392,1,1,0.0,APOGEE,0.0,0,0.0,shahaf2024_nonclassI
1424284689489741440,6,6,53.0,APOGEE,48.345621986081035,5,1.8886799999999972,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1424447554649872000,1,1,0.0,APOGEE,0.0,0,0.0,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1427195234207485952,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1429143671891597824,1,1,0.0,APOGEE,0.0,0,0.0,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1431203297688040448,1,1,0.0,BOSS,0.0,0,0.0,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1432172100575356672,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1433309893247791232,3,3,2070.970682870371,APOGEE+BOSS,4.361472849373521,2,7.302430000000001,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1433328997262331520,2,2,2041.036805555559,APOGEE+BOSS,0.23055982709499245,1,2.566019999999998,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1433500074399740416,2,2,2176.6516898148184,APOGEE+BOSS,0.25533805280168326,1,2.8246600000000015,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1433639128260518400,1,1,0.0,BOSS,0.0,0,0.0,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1433669502269176064,2,2,25.94788194444118,BOSS,0.08786985664088381,1,1.7731899999999996,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
