frame,band,bjd,airmass,exptime,dx,dy,n_comp,f_target,e_target,f_ens,rel,e_rel,bg,note
MTAA11895500,G,2456603.933459324,1.75637,60.0,-0.05471633181650759,-0.07099330664419767,143,363.0,228.82508894078902,172956.5,0.00209879362729935,0.0013230210425210329,1355.508,
MTAA11895502,R,2456603.933459324,1.75637,60.0,-0.012778677220012469,-0.09356352276275004,143,206.0,164.75017288164932,589164.5,0.0003496476790437985,0.0002796335707288021,972.2357,
MTAA11895503,I,2456603.9334603236,1.75637,60.0,-0.020251951944942448,-0.0702459010393568,143,170.0,185.21486381990692,498124.0,0.0003412804843773839,0.00037182481434322966,1656.062,
MTAA11895510,G,2456603.934230264,1.76652,60.0,-0.010140218582932903,-0.05361602417889344,143,163.0,208.8914331435351,168521.0,0.0009672385044000451,0.001239557284513711,1354.323,
MTAA11895512,R,2456603.9342312636,1.76652,60.0,0.016631010026571857,-0.047143301974529095,143,342.0,156.2777099663715,590008.5,0.0005796526660209133,0.0002648736585428371,929.353,
MTAA11895513,I,2456603.934232264,1.76652,60.0,-0.02832983668469069,-0.04991180633635395,142,52.0,182.0696271466862,507251.5,0.00010251325033045737,0.00035893363971656306,1621.978,
MTAA11895520,G,2456603.9349892046,1.77588,60.0,-0.013071299658236057,-0.0700565338251522,143,586.0,210.31555985423427,170284.5,0.003441299707254624,0.0012350834036816871,1349.099,
MTAA11895522,R,2456603.9349902044,1.77588,60.0,0.009046009627354579,-0.09888400826559973,143,510.0,160.88234547851005,574752.0,0.0008873392350091866,0.000279916112477225,945.2873,
MTAA11895523,I,2456603.9349912046,1.77588,60.0,-0.039895491210472755,-0.05275217284027178,142,169.0,182.33718526217666,495363.0,0.00034116395451416434,0.0003680880188108047,1622.329,
MTAA11895530,G,2456603.9357481454,1.78556,60.0,0.05355613933318182,-0.03558736386810324,143,363.0,219.37329781721385,165781.0,0.002189635724238604,0.0013232716524644794,1356.432,
MTAA11895532,R,2456603.935749145,1.78556,60.0,-0.03311306961745686,-0.08586940359700179,143,259.0,169.15925609878207,543714.5,0.000476352938904517,0.00031111779453882885,936.7209,
MTAA11895533,I,2456603.935749145,1.78556,60.0,-0.021294410900395633,-0.0843425420192716,143,98.0,182.41486360126103,475463.0,0.0002061148817047804,0.0003836573268608936,1636.958,
MTAA11895540,G,2456603.9365070863,1.79574,60.0,-0.022582177162234984,-0.10391284214585994,143,197.0,208.42815910386642,226389.0,0.0008701836219957683,0.0009206638092127551,1330.699,
MTAA11895542,R,2456603.936508086,1.79574,60.0,0.0018977678674900744,-0.030873812092863773,143,410.0,155.79973031320262,580588.0,0.0007061806306709749,0.0002683481751486469,920.6182,
MTAA11895543,I,2456603.936508086,1.79574,60.0,-0.030994271099189064,-0.046867105758792604,143,139.0,173.31251708210038,498123.0,0.00027904754448198536,0.00034793116776800186,1617.983,
MTAA11895550,G,2456603.9372670273,1.80628,60.0,-0.04796732304453144,0.055506079190536184,143,265.0,213.1436212325076,175543.5,0.0015095973362727758,0.0012141926145514223,1327.677,
MTAA11895552,R,2456603.937268027,1.80628,60.0,0.021677098087366176,-0.05965511978811833,143,154.0,159.22665947217087,571401.0,0.0002695130040024431,0.00027866009942609634,921.281,
MTAA11895553,I,2456603.937269027,1.80628,60.0,-0.00837247972856403,-0.03921132560628848,143,863.0,175.13488680823514,488649.0,0.0017660938628749879,0.0003584063137512512,1612.865,
MTAA11895560,G,2456603.938025968,1.81688,60.0,0.01208354093341768,-0.012419065369101645,143,363.0,224.34077761298767,195660.0,0.0018552591229684147,0.0011465847777419383,1352.735,
MTAA11895562,R,2456603.938026968,1.81688,60.0,0.0033777578371427808,-0.10455481583520054,143,412.0,157.19381715746118,650366.5,0.0006334889635305631,0.0002417003599623615,935.2188,
MTAA11895563,I,2456603.938026968,1.81688,60.0,-0.027467358574426726,-0.05806522480736476,143,102.0,180.65918745675054,571745.5,0.0001784010543152504,0.00031597832856883096,1646.631,
MTAA11895570,G,2456603.938784909,1.82763,60.0,-0.038831287016250826,-0.011537346088175582,143,680.0,215.2268428134991,219630.0,0.0030961161954195693,0.0009799519319469065,1356.513,
MTAA11895572,R,2456603.9387859083,1.82763,60.0,-0.000991583083362002,-0.053323929810005666,143,390.0,163.2719695838511,728034.0,0.0005356892672594961,0.00022426420961637933,938.0635,
MTAA11895573,I,2456603.9387869085,1.82763,60.0,-0.01628617683104494,-0.018326043224988098,143,149.0,188.43096723444017,630880.0,0.00023617803702764392,0.00029867957017886153,1657.745,
MTAA11895580,G,2456603.939544849,1.83782,60.0,-0.025992715294250957,0.007948029732688155,143,243.0,209.71441227726814,197471.0,0.0012305604367223541,0.0010620010648513865,1342.753,
MTAA11895582,R,2456603.9395458493,1.83782,60.0,-0.008558090131828067,-0.04824505424170411,143,223.0,165.0271157168623,689517.0,0.00032341479615440955,0.00023933726901129677,952.3221,
MTAA11895583,I,2456603.9395458493,1.83782,60.0,-0.01827591495631964,-0.020775073918969156,142,11.0,182.79136320588745,592016.0,1.8580578903272885e-05,0.0003087608497167094,1628.944,
MTAA11895590,G,2456603.940333788,1.84834,60.0,-0.025278405692802153,-0.09427779429859129,143,317.0,199.42175887246273,189644.0,0.0016715530151230726,0.0010515584931369447,1350.049,
MTAA11895592,R,2456603.940333788,1.84834,60.0,0.004243726533559311,-0.03711634831932997,143,534.0,159.85833970258378,664395.5,0.0008037381348910401,0.00024060719812609173,954.1669,
MTAA11895593,I,2456603.9403347876,1.84834,60.0,-0.01370648774440042,-0.0436564650924538,143,254.0,174.22608466395994,578778.0,0.00043885565795520907,0.00030102402763055946,1661.809,
MTAA11895600,G,2456603.9411037276,1.85989,60.0,0.008425520578271062,-0.039736415624901156,143,514.0,224.69524064088822,193968.5,0.0026499148057545427,0.0011584109824063608,1347.755,
MTAA11895602,R,2456603.941104728,1.85989,60.0,0.0062051634230329,-0.03688547074837345,142,630.0,165.93985519157235,663716.0,0.0009492011643534283,0.0002500163551753647,954.465,
MTAA11895603,I,2456603.9411057276,1.85989,60.0,0.004908001010676344,-0.040698062381608224,142,195.0,179.1968447025784,582399.0,0.00033482200347184664,0.0003076874182520547,1623.074,
MTAA11895610,G,2456603.9418926663,1.87112,60.0,0.015615091574773032,-0.10881208212788351,143,567.0,198.54899845465516,181818.5,0.0031184945426345504,0.0010920175804698376,1347.083,
MTAA11895612,R,2456603.9418926663,1.87112,60.0,-0.022672918110458795,-0.06544583504759771,142,423.0,157.381901180536,634174.0,0.0006670093696682614,0.0002481683279045436,979.5041,
MTAA11895613,I,2456603.941893666,1.87112,60.0,0.0030049447375972704,-0.037221265766092415,142,90.0,176.293141042337,563752.0,0.0001596446664490769,0.0003127139966551551,1628.333,
MTAA11895620,G,2456603.942651607,1.88197,60.0,0.058134920062684614,-0.03517786888482988,143,289.0,224.73669998087388,172382.0,0.0016765091482869442,0.0013037132646150635,1346.973,
MTAA11895622,R,2456603.942652607,1.88197,60.0,-0.019043326289647666,-0.028311447818509805,143,107.0,168.80807772268088,603198.5,0.0001773877090211597,0.00027985493618217037,942.6559,
MTAA11895623,I,2456603.942652607,1.88197,60.0,-0.012261563799825126,-0.016894206063852835,143,140.0,178.17464892627123,529614.0,0.00026434346524072247,0.00033642360082299794,1621.158,
MTAA11895630,G,2456603.943411548,1.89366,60.0,-0.04169991712035426,-0.07744653420701297,143,419.0,221.74472628182164,200670.0,0.002088005182638162,0.001105021808351132,1356.616,
MTAA11895632,R,2456603.943412548,1.89366,60.0,-0.015602744941020319,-0.04534977639139015,143,481.0,165.040761019412,650367.5,0.000739581851799175,0.0002537653880604612,929.9462,
MTAA11895633,I,2456603.943412548,1.89366,60.0,-0.0327905547796945,-0.046268307231969175,143,164.0,187.9992803520978,566835.0,0.0002893258179187947,0.0003316649119269237,1618.681,
MTAA11895640,G,2456603.9441714888,1.9057,60.0,0.037733409216968994,-0.03471104983481155,143,292.0,224.8590321029897,196741.5,0.0014841810192562322,0.0011429161214232366,1341.817,
MTAA11895642,R,2456603.944172489,1.9057,60.0,0.027302756354742996,-0.05573544383418039,143,438.0,152.97843424779413,660018.0,0.0006636182649564103,0.00023177918518554666,932.6987,
MTAA11895643,I,2456603.944172489,1.9057,60.0,9.538524665231307e-05,-0.06354082941697925,143,144.0,182.47195893068064,575904.0,0.0002500416736122687,0.00031684440276622607,1617.409,
MTAA11895650,G,2456603.94493143,1.91766,60.0,0.039124278315625816,-0.007795732261001831,143,274.0,214.34637841301011,171886.0,0.0015940797970748054,0.0012470263919866081,1367.107,
MTAA11895652,R,2456603.944932429,1.91766,60.0,-0.0010485770001196215,-0.1259275253143528,143,179.0,161.5055962709239,553969.0,0.0003231227740180407,0.0002915426608184283,952.4407,
MTAA11895653,I,2456603.944932429,1.91766,60.0,-0.013854388190225109,-0.05569549538586216,143,89.0,181.08996478509422,494802.0,0.00017986992776908742,0.000365984706579792,1663.841,
MTAA11895660,G,2456603.9456893704,1.93013,60.0,-0.026555368792173795,-0.05865855225943051,143,976.5,204.45754330762657,159719.5,0.006113843331590695,0.0012801038276955949,1372.986,
MTAA11895662,R,2456603.94569037,1.93013,60.0,-0.009822746135910165,-0.032909911020567506,143,487.0,174.9246094286717,589390.5,0.0008262773152943591,0.00029678898697666774,983.3305,
MTAA11895663,I,2456603.94569137,1.93013,60.0,-0.0066959117731357765,-0.03813224218828282,143,106.0,174.00831946777717,506339.0,0.00020934591252105803,0.0003436597209928075,1626.994,
MTAA11895670,G,2456603.946449311,1.94185,60.0,-0.0271453959601331,-0.02549646343055656,143,330.0,213.93777118305533,154601.5,0.002134520040232469,0.0013838013937966665,1347.118,
MTAA11895672,R,2456603.9464503108,1.94185,60.0,0.034777874642827555,-0.07281873187517363,143,88.0,156.00552115977604,497967.5,0.00017671836013394447,0.00031328454399087496,934.776,
MTAA11895673,I,2456603.9464503108,1.94185,60.0,0.0010821438960419982,-0.0036181653909039824,142,24.0,183.6822185599085,430328.0,5.577141157442695e-05,0.00042684235875868756,1641.51,
MTAA11895680,G,2456603.9472382492,1.95375,60.0,-0.007457183574388182,-0.07076701867174506,143,121.0,224.29991343437177,168404.0,0.0007185102491627278,0.0013319155924703201,1361.196,
MTAA11895682,R,2456603.9472392495,1.95375,60.0,0.017722875373237912,-0.04029365959820552,143,486.0,159.62598861205737,550744.5,0.0008824418582482439,0.0002898367366574834,978.892,
MTAA11895683,I,2456603.9472392495,1.95375,60.0,0.02671736716195028,-0.03364466120422094,143,112.0,169.26286746163004,504066.0,0.0002221931255034063,0.0003357950495800749,1661.797,
MTAA11895690,G,2456603.9480081894,1.96718,60.0,0.05649486906446555,0.011722588892808972,143,591.0,219.27335362130378,178744.5,0.0033063954415380615,0.0012267418221053167,1359.714,
MTAA11895692,R,2456603.948009189,1.96718,60.0,0.0062248971469216485,-0.037045301135542275,142,482.0,169.4215662317719,601957.0,0.0008007216462305447,0.00028145127680510716,968.3427,
