sdss_id,gaia_dr3_source_id,ra,dec,g_mag,bp_mag,rp_mag,plx,classification,p_da,teff,logg,snr,bp_rp
80190248,3881552646239195264,152.1272,12.35594,17.61029,17.53262,17.8118,3.863691,DA,1.0,23574.65,7.798552,50.20352,-0.2791800000000002
94030265,5008992762714188800,23.8183,-38.5261,16.42694,16.37727,16.55528,8.5253,DA,1.0,16896.94,8.033723,50.16899,-0.17801000000000045
98263100,5468897895130243584,155.5119,-26.91074,17.25717,17.21312,17.37698,7.215307,DA,0.9940796,16632.28,8.143193,50.13619,-0.16385999999999967
64445207,1879147564661258240,333.2231,23.63339,15.87443,15.78175,16.08116,11.13927,DA,0.998,24150.21,8.309386,50.07292,-0.29940999999999995
87979111,4311283812381887232,282.9996,9.402927,16.90535,16.82303,17.08411,3.10252,DA,0.7817098,48554.41,7.875632,50.01066,-0.26107999999999976
93917661,4987864993952400384,16.65087,-40.62509,16.61293,16.57071,16.70289,8.731691,DBA,0.0003002158,-9999.0,-9999.0,50.00053,-0.13218000000000174
80849558,4011093842048361216,189.4482,29.1394,17.20046,17.14319,17.37738,4.966248,DA,1.0,19650.24,7.897128,49.97431,-0.23418999999999812
57419702,860264219763946880,163.4886,58.00672,17.23,17.17846,17.39263,5.499917,DA,1.0,17564.19,7.891363,49.97105,-0.2141699999999993
54650524,446110423314739712,49.46462,53.07191,17.28868,17.23301,17.46719,5.617739,DA,0.948479,27366.45,8.279068,49.93351,-0.2341799999999985
70895631,2657498580470832384,347.4727,1.203753,16.7797,16.64922,17.03232,6.653759,DA,0.9840545,30843.08,8.492597,49.91461,-0.3830999999999989
57817362,904804989129288960,127.2955,36.61924,17.3459,17.27467,17.55627,4.801041,DA,1.0,20597.85,7.915071,49.84734,-0.28160000000000096
75951497,3230857747910285696,69.78258,0.4578898,16.75822,16.50385,16.62328,5.844373,DBA,0.002750796,-9999.0,-9999.0,49.83015,-0.11943000000000126
71728949,2808755779468059264,13.48258,27.24765,17.74231,17.68614,17.8886,4.166654,DA,1.0,22836.08,7.97861,49.81475,-0.20245999999999853
69267665,2308785272265511552,4.122986,-35.97443,16.5929,16.52768,16.71643,8.223276,DB,0.01109274,-9999.0,-9999.0,49.77755,-0.18874999999999886
75551804,3170376185952736768,111.5929,18.415,16.72149,16.66575,16.87802,7.982128,DA,1.0,17827.26,8.061881,49.75284,-0.21227000000000018
68640211,2206722349507123456,336.4129,65.84185,16.87496,16.7585,17.09138,3.842817,DA,0.6009868,-9999.0,-9999.0,49.72738,-0.3328799999999994
71374086,2739292311317118336,1.639887,3.332371,17.48067,17.40736,17.69266,4.452652,DA,1.0,-9999.0,-9999.0,49.72699,-0.28529999999999944
111326841,6571754443436630272,330.6192,-41.24232,15.7774,15.60672,16.11517,3.698689,DA,0.9368287,53900.98,7.636616,49.72697,-0.5084499999999998
67567691,2116405062784860544,271.8324,47.16462,16.41133,16.28153,16.68081,6.615662,DA,0.9800273,30286.48,8.27014,49.68001,-0.39928000000000097
60235512,1285684857897629696,217.1576,32.11083,17.54537,17.46162,17.75179,4.313933,DA,1.0,-9999.0,-9999.0,49.65471,-0.2901699999999998
57404336,857582824437137280,171.1387,59.17962,18.51487,18.50177,18.61649,3.812497,DA,1.0,15575.66,8.172992,49.63271,-0.11471999999999838
99107937,5549508830638680704,95.28857,-50.55791,17.4583,17.34801,17.73414,3.467124,DA,0.9581236,28069.53,7.78407,49.50004,-0.3861300000000014
58844807,1053211437944753024,152.4005,63.97668,13.74549,13.66212,13.92773,25.38355,DA,0.998,20040.58,7.920336,49.48345,-0.26561000000000057
115591427,178252417074394368,66.46955,37.10833,16.65252,16.61067,16.76802,7.725123,DA,1.0,16787.61,7.884534,49.42852,-0.157350000000001
55989842,612351182656535424,135.1235,18.32821,17.24335,17.17421,17.42878,3.506439,DA,1.0,24405.11,7.720963,49.36601,-0.2545700000000011
70205181,2517598919975405312,30.80836,3.076249,16.43141,16.33336,16.65918,6.548698,DA,1.0,23720.16,7.810314,49.35651,-0.3258200000000002
54939197,470502504662843648,62.71522,59.41711,14.72458,14.58318,14.98965,10.52174,DA,0.9207855,30630.25,7.786559,49.16215,-0.4064699999999988
110436185,6447181214823340800,299.0542,-58.34715,16.34679,16.21922,16.66975,4.40148,DA,0.9860528,34252.37,7.739221,49.10368,-0.45053000000000054
94841857,5167439672539923456,47.9436,-8.645595,17.07641,17.01989,17.13871,6.880288,DA,1.0,16999.99,8.089589,48.97684,-0.11881999999999948
79490813,3741895080165336576,203.8909,15.19847,18.59591,18.56644,18.73192,3.581571,DA,1.0,-9999.0,-9999.0,48.90777,-0.16547999999999874
68862803,2236381950543626240,301.5705,59.04045,15.5121,15.48649,15.60882,13.13099,DA,1.0,15092.96,7.905761,48.88898,-0.12232999999999983
57423978,861050512312844672,166.9266,59.97419,13.81928,13.74727,13.9808,28.9939,DA,1.0,-9999.0,-9999.0,48.87281,-0.23353000000000002
88097598,4314903198513595776,292.4111,11.29833,13.49074,13.4074,13.68745,27.32573,DA,1.0,20638.83,7.997959,48.81533,-0.28004999999999924
93006067,4832631544295728128,55.45221,-49.31041,16.59593,16.50274,16.80123,6.365245,DA,1.0,21843.44,7.978906,48.81422,-0.29849000000000103
70175334,2511375817306059776,29.75149,1.761818,17.0934,17.01144,17.33284,4.734464,DA,0.996,25501.64,7.934193,48.81311,-0.3214000000000006
69034278,2260566052391590400,272.7982,70.7307,17.59373,17.54922,17.72601,4.418825,DA,1.0,18882.76,7.788552,48.73164,-0.17679000000000045
93098443,4848475025815603328,53.28258,-43.14165,16.53568,16.45967,16.59587,4.747551,DA,0.998,-9999.0,-9999.0,48.7225,-0.13620000000000232
110898959,6503221157826177536,341.1882,-60.04937,17.16864,17.0921,17.36246,3.275147,DA,0.998,25628.93,7.658995,48.71865,-0.27036000000000016
62073142,1577039251525460352,194.8983,57.22439,18.79885,18.77674,18.90326,3.04788,DA,0.996041,16074.39,8.254102,48.69818,-0.1265199999999993
93060816,4842194473663089920,61.37526,-41.3525,16.28982,16.18985,16.51209,6.882897,DA,1.0,23950.17,7.89667,48.66674,-0.32224000000000075
69395896,2338536923041731072,356.1628,-25.3434,16.74929,16.68288,16.95778,6.732026,DA,1.0,18563.57,7.881439,48.66298,-0.2748999999999988
76310360,3301006005648045568,64.63727,11.06235,16.87815,16.83533,16.98703,6.51748,DA,1.0,22852.55,7.91104,48.66217,-0.15170000000000172
57848758,909783994392221568,129.6543,36.48121,17.27417,17.24622,17.41545,5.776867,DA,1.0,16946.05,7.832866,48.64203,-0.16922999999999888
