mjd,fid,magpsf,sigmapsf,ra,dec,isdiffpos,distnr,magpsf_corr,band,yr
60168.394594899844,1,19.6465,0.154718,326.8284086,-13.4746459,1,11.9915,,g,2023
60170.3351619998,1,19.730482,0.15216766,326.8283311,-13.4746703,1,3.896806,,g,2023
60170.33563659992,1,19.76363,0.14149284,326.8283339,-13.4746732,1,12.011127,,g,2023
60170.38849540008,2,19.108456,0.09346383,326.828337,-13.4746867,1,0.40885186,19.022362,r,2023
60170.3889583,2,19.278397,0.10553381,326.8283242,-13.4746552,1,0.5251058,19.193216,r,2023
60172.26921299985,1,19.7501,0.19142,326.82839,-13.4746982,1,4.08298,,g,2023
60172.26921299985,1,19.750074,0.19141972,326.82839,-13.4746982,1,4.082984,,g,2023
60173.31567130005,2,19.199755,0.11616027,326.8283445,-13.4746629,1,0.48127535,19.106424,r,2023
60174.34629630018,1,19.543264,0.12949789,326.8283739,-13.4746913,1,4.0348783,,g,2023
60174.35672450019,2,19.265837,0.12951094,326.8283146,-13.4746421,1,0.55553883,19.1816,r,2023
60179.357164400164,2,19.296888,0.10003709,326.8283489,-13.4747183,1,0.37338492,19.195219,r,2023
60183.324224499986,1,19.7831,0.251698,326.8283689,-13.4747146,1,4.09844,,g,2023
60183.36041670013,2,19.3125,0.141781,326.8283859,-13.4746385,1,0.632097,19.209427,r,2023
60183.36087960005,2,19.444386,0.12724453,326.8282537,-13.4746737,1,0.77445847,19.345757,r,2023
60185.18410879979,1,19.2698,0.23504,326.8283064,-13.4747164,1,11.9245,,g,2023
60185.298171299975,2,19.096136,0.13163057,326.8283327,-13.4746727,1,0.42832008,19.010977,r,2023
60193.31282409979,2,19.696663,0.16067415,326.8284354,-13.4746293,1,0.7952944,19.55263,r,2023
60194.34671299998,2,19.6468,0.17479669,326.8283576,-13.4747101,1,0.4746023,19.529018,r,2023
60195.27482639998,2,19.829807,0.17407535,326.8283208,-13.4746805,1,0.3806246,19.668316,r,2023
60195.33475690009,1,20.1913,0.224183,326.8284398,-13.4747332,1,11.6624,,g,2023
60200.25260420004,1,19.664381,0.13488898,326.8284008,-13.4747087,1,4.135342,,g,2023
60201.2589004999,2,19.188932,0.1147592,326.8283384,-13.4747006,1,0.374843,19.096489,r,2023
60201.303588000126,1,19.1523,0.10899531,326.8283812,-13.4746244,1,12.09717,,g,2023
60201.303588000126,1,19.1523,0.108995,326.8283812,-13.4746244,1,12.0972,,g,2023
60201.303588000126,1,19.1523,0.108995,326.8283812,-13.4746244,1,12.0972,,g,2023
60202.20505789993,1,19.002878,0.12424932,326.8283126,-13.4746705,1,3.8667786,,g,2023
60203.24886569986,2,18.73318,0.12463867,326.8283312,-13.4746833,1,0.39706385,18.671547,r,2023
60203.388425900135,1,20.1811,0.253837,326.828338,-13.4746665,1,12.0342,,g,2023
60205.241469900124,2,19.72295,0.14757317,326.8283236,-13.4746835,1,0.5453577,19.59709,r,2023
60205.24194440013,2,19.4486,0.130656,326.8283524,-13.4746804,1,0.457334,19.332474,r,2023
60205.25373840006,1,19.973642,0.18197356,326.8283727,-13.4746635,1,3.947473,,g,2023
60205.27085650014,1,20.574102,0.21320727,326.8283783,-13.4747139,1,11.809578,,g,2023
60207.268749999814,1,19.809027,0.13416897,326.8283465,-13.4746978,1,11.920083,,g,2023
60207.26922449982,1,19.873367,0.20364964,326.8284094,-13.4747143,1,4.1681013,,g,2023
60207.31084490009,2,19.372564,0.09934639,326.8283426,-13.4747164,1,0.5305741,19.279987,r,2023
60207.31130790012,2,19.356302,0.102463596,326.8283589,-13.4747063,1,0.42346144,19.249187,r,2023
60211.20054400014,2,19.017164,0.10765013,326.8283158,-13.4746681,1,0.5596911,18.949646,r,2023
60221.24600689998,2,18.936432,0.1163149,326.8283511,-13.4746842,1,0.45553833,18.873615,r,2023
60221.30085649993,1,19.2464,0.247559,326.8282642,-13.4747154,1,12.0021,,g,2023
60221.30133099994,1,18.87795,0.165572,326.8283816,-13.4747154,1,4.1224713,,g,2023
60223.27663190011,1,20.2825,0.250359,326.8284007,-13.4745924,1,12.1688,,g,2023
60224.230451399926,2,19.289562,0.16532886,326.8283499,-13.474713,1,0.5030776,19.203537,r,2023
60224.3117244998,1,20.0479,0.302373,326.8282179,-13.4747025,1,3.82934,,g,2023
60235.16878469987,1,20.140839,0.18011542,326.828315,-13.4747339,1,11.857885,,g,2023
60237.172604199965,2,19.368116,0.15180326,326.828284,-13.4746663,1,0.35088214,19.259888,r,2023
60464.420057899784,2,20.5592,0.300333,326.8283307,-13.4746448,1,0.503373,20.262741,r,2024
60472.39493060019,2,19.432955,0.15356913,326.8282995,-13.4746785,1,0.62169385,19.335314,r,2024
60473.41452550003,2,18.838682,0.10385656,326.8283461,-13.4747037,1,0.38579515,18.770952,r,2024
60473.44120369991,1,19.89826,0.17105591,326.8283879,-13.4746833,1,11.894456,,g,2024
60474.411643499974,2,18.956076,0.107007965,326.8283442,-13.4746932,1,0.48929787,18.892145,r,2024
60474.45685190009,1,19.28994,0.12634811,326.8284018,-13.4747468,1,4.2526765,,g,2024
60476.422604199965,1,19.898558,0.16529058,326.8283441,-13.4746723,1,12.005072,,g,2024
60476.47748839995,2,19.9999,0.243889,326.8284123,-13.4747117,1,0.61038,19.813253,r,2024
60479.361169000156,2,19.117172,0.14644024,326.8282273,-13.4747437,1,0.931321,19.043358,r,2024
60480.38062500022,2,19.6269,0.24,326.8283873,-13.4746876,1,0.541889,19.491293,r,2024
60480.40207180008,1,19.025553,0.12358353,326.8283426,-13.4746789,1,11.9822235,,g,2024
60481.375115700066,2,19.128855,0.16540971,326.8282993,-13.4746466,1,0.60824317,19.054268,r,2024
60481.375115700066,2,19.125568,0.16250138,326.8282995,-13.4746486,1,0.6078157,19.051199,r,2024
60482.38194439979,2,19.1598,0.16238476,326.8283181,-13.474753,1,0.23343857,19.069704,r,2024
60489.399120400194,2,18.641068,0.082113035,326.8283217,-13.4746589,1,0.4445995,18.58432,r,2024
60490.39682869986,2,19.125347,0.12566975,326.8283328,-13.4746957,1,0.52931446,19.050993,r,2024
60490.43981479993,1,19.027008,0.13582267,326.828309,-13.47462,1,3.7026665,,g,2024
