ra,dec,glon,glat,instrument,filter,depth95,mjd
147.93082451725402,-28.413510481212608,261.64735091965457,19.70784442570334,c4d,r,23.860098,57094.15391541738
147.93121296120842,-28.41328239215884,261.6474593440324,19.708242334051604,c4d,g,24.642136,57094.12868167693
253.42257387091695,-28.386280720129353,353.93985142414857,9.673023527672347,c4d,i,22.410011,56768.19100549864
253.4174392291281,-28.385826067092665,353.93738252717577,9.676856174886334,c4d,z,22.087357,56768.161989527754
253.4219620764933,-28.385447693193875,353.9401784852012,9.673961441889931,c4d,r,22.419489,56768.183332090266
253.4211341542396,-28.38496303783358,353.94010849371267,9.674833606499728,c4d,g,22.00796,56843.99133820087
253.4205814280382,-28.38479320289874,353.9399391515227,9.675320884309809,c4d,g,22.58428,56768.175022399984
253.42490745797775,-28.38294314217116,353.94380034722235,9.67347148020534,c4d,r,22.43242,56768.18591597909
253.42392061123377,-28.38279884688965,353.9433712595773,9.674243301056604,c4d,g,22.480585,56768.17780539254
253.42185828870947,-28.38264335762615,353.94235801837357,9.675766001644922,c4d,z,22.121113,56768.16631042166
253.42578627556009,-28.38247057728808,353.94466188333905,9.67315551812518,c4d,i,22.423279,56768.19442003453
253.42211889372993,-28.381265710788533,353.9436005653583,9.676436951214184,c4d,r,22.027874,56843.997001904994
253.42911281594633,-28.380612091873445,353.94797859827287,9.67200249341257,c4d,i,22.383574,56768.1978223864
253.4285653461482,-28.379932185425535,353.94821904714985,9.672801302405464,c4d,r,22.506405,56768.188466348685
253.42628575156343,-28.37972233428356,353.9471294115347,9.674507990199569,c4d,z,22.161596,56768.17064863955
253.42699376038257,-28.37910524019,353.94801205267345,9.674399454232148,c4d,g,22.482025,56768.18056224706
253.42421286646197,-28.377712893877913,353.94758913852985,9.67718355237414,c4d,r,22.071924,56843.99839932984
240.3320859981418,-28.254747368781924,346.06841888760965,18.303111696486894,c4d,i,22.664303,56785.28941214038
240.94714319889715,-28.235290578230995,346.49335190015074,17.941375354134216,c4d,i,22.758247,56785.28712870646
243.75425178138707,-28.2090433319935,348.34055267938504,16.209182563263408,c4d,i,22.339867,56784.35069877235
244.36837715172828,-28.18834253305993,348.7459137722278,15.832931097107853,c4d,i,22.393652,56784.34839775134
240.648189623803,-28.113669456541015,346.3829682939369,18.21198427426159,c4d,i,22.70831,56785.28483347362
95.9573388381292,-28.085336048030666,235.8693371620073,-18.00079207262064,c4d,g,24.377657,56666.21016195929
95.95819167836233,-28.06777137198203,235.8524730564388,-17.99359239084331,c4d,r,24.076735,56666.22043769481
95.9576448132825,-28.0677004555014,235.8522159923819,-17.99401441827743,c4d,g,24.309935,56666.213972566184
95.9614150009197,-28.067610497480768,235.853422856158,-17.99089063079556,c4d,r,24.08503,56666.22308625188
244.06977536166383,-28.067176273445178,348.6478287286402,16.107038563144425,c4d,i,22.400522,56784.34611701174
95.96101217077634,-28.06712622930172,235.85281151962613,-17.991041579186263,c4d,r,23.953743,56666.21777588548
240.36126228028093,-28.044630726402925,346.2410507010304,18.43716035893388,c4d,i,22.684505,56785.29055361729
109.52044152726762,-28.01624274017011,240.8558608578762,-7.068141720204585,c4d,i,22.709558,56662.351725635584
243.78221047507043,-27.999516114237025,348.51545839827253,16.336932257948455,c4d,i,22.364452,56784.3518366944
240.79304203173697,-27.84968545606585,346.6730141958241,18.312907229287894,c4d,i,22.713352,56785.28597779153
244.2157162866134,-27.802590222634223,348.9397141445335,16.196627747485632,c4d,i,22.383583,56784.34725968726
241.0029098611685,-27.74665083320653,346.88885192042295,18.257398446500066,c4d,r,24.342701,56420.267146525905
240.9976531131918,-27.745998769312106,346.8858230226806,18.26111268976566,c4d,r,24.113317,56420.32364870096
240.9979423432455,-27.7441804052633,346.88735254654125,18.26223618656696,c4d,r,24.378424,56420.369664494414
142.47805050728468,-27.699165338618897,257.47081188007076,16.889667496969796,c4d,r,23.793552,57753.25985818822
142.4796398627202,-27.699162434002535,257.4718356733081,16.890677739332048,c4d,g,23.896524,57753.25848418195
144.37089501367183,-27.698863575443305,258.71002883462205,18.077817299678458,c4d,r,23.752335,57753.26259831106
136.80732095183146,-27.69873506464875,253.9615836538049,13.185059201809109,c4d,g,23.734322,57753.25023427047
146.26211372263043,-27.69865562884425,259.98401543558714,19.23842779337815,c4d,r,23.745415,57753.26532493904
138.69687598712105,-27.698606248704493,255.09768668827945,14.442778491948058,c4d,g,23.837332,57753.24747091252
140.58787921551846,-27.698563962620824,256.26741005184084,15.678671296245245,c4d,g,23.82599,57753.24473432405
