cls,source_id,sig,P_d,M2_msun,G,bp_rp,simbad_main,otype,sp_type,has_HD,has_HIP,has_GJ,has_TYC,named_ids
BD,4548345494311521920,21.348419189453125,254.4058319821317,0.0734,10.91858196258545,1.018620491027832,TYC 1540-121-1,SB*,"",false,false,false,true,""
BD,1156378820136922880,21.05567169189453,268.28474442807345,0.0754,9.662735939025879,0.8956966400146484,G  15-6,SB*,G4,false,true,false,true,HIP 73800
BD,496498429874491520,20.904752731323242,241.82712654485417,0.0747,11.99471378326416,0.9849615097045898,,,,false,false,false,false,""
BD,6386542083398391808,20.889694213867188,215.66962063041115,0.072,5.826712131500244,1.082270622253418,HD 222805,**,G8/K0IV,true,true,false,true,HD 222805|HIP 117105|HR  8994
BD,1678059429243445248,20.81389617919922,439.49051104928304,0.0318,8.464820861816406,0.8593683242797852,HD 115517,SB*,G0,true,false,false,true,BD+66   801|HD 115517
BD,273695145969126784,20.811134338378906,413.64849373426176,0.0639,12.622139930725098,1.2033329010009766,,,,false,false,false,false,""
BD,3749549162858639744,20.704084396362305,293.56928895794584,0.0719,10.890053749084473,1.033773422241211,TYC 6062-854-1,*,"",false,false,false,true,""
BD,2881691475275599360,20.577089309692383,643.4694161807543,0.0667,9.918150901794434,1.0057945251464844,TYC 3237-1898-1,PM*,"",false,false,false,true,""
BD,4776963682897871616,20.44642448425293,270.7591766184416,0.0664,12.831265449523926,2.018331527709961,LEHPM 3846,PM*,"",false,false,false,false,""
BD,1620187459349657984,20.431509017944336,112.84850850394068,0.0689,12.553169250488281,2.4354782104492188,PM J14516+6229,PM*,"",false,false,false,false,""
BD,5454062631414334976,20.425640106201172,670.4163312410283,0.0672,9.097097396850586,1.3561906814575195,CD-30  8696,SB*,"",false,false,false,true,""
BD,2217319511295868672,20.31890106201172,595.9979350786411,0.0565,9.735279083251953,0.708404541015625,BD+62  1950,*,F8,false,false,false,true,BD+62  1950
BD,5251990536204769920,20.17954444885254,599.1262992941173,0.0506,12.867383003234863,1.3037843704223633,,,,false,false,false,false,""
BD,1924030007264636032,19.98421287536621,407.8348800064078,0.0632,9.22625732421875,0.9396600723266602,BD+41  4809,Em*,G8,false,false,false,true,BD+41  4809
