ra,dec,id,otype,catalog,source_id,pulled_utc
131.000417,2.655278,V495_Hya,DN,ritter_kolb,,2026-06-01T01:35:02Z
259.654167,41.264167,V825_Her,NL,ritter_kolb,,2026-06-01T01:35:02Z
122.1925,31.518333,J0808+3131,DN,ritter_kolb,,2026-06-01T01:35:02Z
137.864167,8.694722,J0911+0841,DN,ritter_kolb,,2026-06-01T01:35:02Z
82.99625,30.445833,T_Aur_1,Nb,ritter_kolb,,2026-06-01T01:35:02Z
324.520833,26.638889,J2138+2638,DN,ritter_kolb,,2026-06-01T01:35:02Z
334.480833,-8.351389,FO_Aqr_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
127.15375,25.334167,AT_Cnc,DN,ritter_kolb,,2026-06-01T01:35:02Z
355.09875,12.628333,HX_Peg_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
289.9925,-7.181944,CZ_Aql_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
217.363333,-38.069444,V895_Cen_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
293.929167,-59.139444,V345_Pav_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
275.5675,-29.944444,J1822-2956,DN,ritter_kolb,,2026-06-01T01:35:02Z
96.3175,73.577778,MU_Cam,NL,ritter_kolb,,2026-06-01T01:35:02Z
204.170833,51.913889,UX_UMa_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
255.025417,-57.864444,V433_Ara_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
254.123333,-8.5775,LS_IV_-08_3,NL,ritter_kolb,,2026-06-01T01:35:02Z
287.215,43.008889,V363_Lyr_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
236.412917,14.375833,CT_Ser_1,N,ritter_kolb,,2026-06-01T01:35:02Z
6.025833,-72.078611,NGC_104-CV3,NL,ritter_kolb,,2026-06-01T01:35:02Z
351.710417,82.369722,2325+8205,DN,ritter_kolb,,2026-06-01T01:35:02Z
273.6375,-28.793056,J1814-2847,NL,ritter_kolb,,2026-06-01T01:35:02Z
123.82875,-49.221667,IX_Vel_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
271.876667,45.858889,DQ_Her_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
