mjd,ra,dec,mag,filter,id,exposure,obscode
57890.15551470313,250.9862897351832,-21.39531460760216,17.980581,Y,134244_29960,c4d_170517_034719_ooi_Y_v1,W84
57890.15551470313,250.98617897256764,-21.396136390176594,18.665659,Y,134244_29961,c4d_170517_034719_ooi_Y_v1,W84
57890.15551470313,250.98377408229095,-21.397991503107537,20.834251,Y,134244_31814,c4d_170517_034719_ooi_Y_v1,W84
57890.15551470313,250.9825807329499,-21.39545285943335,21.008495,Y,134244_31815,c4d_170517_034719_ooi_Y_v1,W84
57890.15551470313,250.9814861594281,-21.402291499131696,19.398333,Y,134244_29984,c4d_170517_034719_ooi_Y_v1,W84
57890.15551470313,250.98096681935456,-21.403420345294887,19.063532,Y,134244_29988,c4d_170517_034719_ooi_Y_v1,W84
57890.15551470313,250.9804180019829,-21.395358235618875,18.543962,Y,134244_29992,c4d_170517_034719_ooi_Y_v1,W84
57890.15551470313,250.9803912784299,-21.39329912994723,21.033972,Y,134244_31823,c4d_170517_034719_ooi_Y_v1,W84
57890.15551470313,250.9790451092722,-21.403260979318723,19.393078,Y,134244_30002,c4d_170517_034719_ooi_Y_v1,W84
57890.15551470313,250.97806631932383,-21.402754958056235,19.862873,Y,134244_31392,c4d_170517_034719_ooi_Y_v1,W84
57890.15551470313,250.9772056324195,-21.40395783813307,16.121325,Y,134244_30006,c4d_170517_034719_ooi_Y_v1,W84
57890.15551470313,250.9771452028573,-21.397273482333777,18.666603,Y,134244_30009,c4d_170517_034719_ooi_Y_v1,W84
57890.15551470313,250.97588104457446,-21.394437907457945,15.502025,Y,134244_30016,c4d_170517_034719_ooi_Y_v1,W84
57890.15551470313,250.97678773115578,-21.39587897418612,16.032421,Y,134244_30011,c4d_170517_034719_ooi_Y_v1,W84
57890.15551470313,250.97614943880274,-21.396393529551037,20.13961,Y,134244_30012,c4d_170517_034719_ooi_Y_v1,W84
57890.15551470313,250.9754510498997,-21.40150726179494,20.501999,Y,134244_31396,c4d_170517_034719_ooi_Y_v1,W84
57890.151000108104,250.98629698220523,-21.39530351954936,18.066961,Y,134244_29960,c4d_170517_033821_ooi_Y_v1,W84
57890.151000108104,250.9861669813447,-21.396143310690302,18.555113,Y,134244_29961,c4d_170517_033821_ooi_Y_v1,W84
57890.151000108104,250.98358085252582,-21.39959901213958,16.75241,Y,134244_29970,c4d_170517_033821_ooi_Y_v1,W84
57890.151000108104,250.98154210395055,-21.40229036870164,19.431662,Y,134244_29984,c4d_170517_033821_ooi_Y_v1,W84
57890.151000108104,250.98094173782985,-21.40346540604055,19.109066,Y,134244_29988,c4d_170517_033821_ooi_Y_v1,W84
57890.151000108104,250.980430523035,-21.395359866551868,18.657755,Y,134244_29992,c4d_170517_033821_ooi_Y_v1,W84
57890.151000108104,250.979022242986,-21.40323321705612,19.088955,Y,134244_30002,c4d_170517_033821_ooi_Y_v1,W84
57890.151000108104,250.97720226330722,-21.403958114338735,16.113195,Y,134244_30006,c4d_170517_033821_ooi_Y_v1,W84
