ra,dec,mjd,mag_auto,filter,fwhm,class_star,objectid,measid,exposure
256.6321820261033,-26.924673888928137,58602.410041208845,19.203697,z,0.974382,0.971883,142957_94536,c4d.851927.6.25823,c4d_190429_095027_ooi_z_v1
256.6321913720123,-26.920996791289593,58602.410041208845,17.15829,z,0.992274,0.981023,142957_94781,c4d.851927.6.25824,c4d_190429_095027_ooi_z_v1
256.63185958949805,-26.921770284651295,58602.410041208845,18.749073,z,1.050529,0.98118,142957_94729,c4d.851927.6.25825,c4d_190429_095027_ooi_z_v1
256.63200491917394,-26.930374282538057,58602.410041208845,19.708687,z,0.986788,0.949295,142957_94124,c4d.851927.6.25863,c4d_190429_095027_ooi_z_v1
256.6315203718252,-26.927189211426242,58602.410041208845,20.525131,z,1.453761,0.825482,142957_94363,c4d.851927.6.25898,c4d_190429_095027_ooi_z_v1
256.63099685448697,-26.92680349908462,58602.410041208845,17.40272,z,0.964095,0.913363,142957_94389,c4d.851927.6.25899,c4d_190429_095027_ooi_z_v1
256.6315359186597,-26.91979666783018,58602.410041208845,19.194056,z,0.996496,0.971104,142957_94862,c4d.851927.6.25900,c4d_190429_095027_ooi_z_v1
256.63095666770187,-26.920489947158774,58602.410041208845,19.361372,z,1.503989,0.97284,142957_94816,c4d.851927.6.25926,c4d_190429_095027_ooi_z_v1
256.63081416703074,-26.929599521477677,58602.410041208845,19.955229,z,0.989779,0.926494,142957_94180,c4d.851927.6.25940,c4d_190429_095027_ooi_z_v1
256.6307390761229,-26.925202918432213,58602.410041208845,19.14097,z,1.681072,0.979107,142957_94503,c4d.851927.6.25944,c4d_190429_095027_ooi_z_v1
256.6302015793218,-26.923778565856573,58602.410041208845,19.93872,z,1.065787,0.923657,142957_94590,c4d.851927.6.25988,c4d_190429_095027_ooi_z_v1
256.6303114152464,-26.92294391549256,58602.410041208845,20.696827,z,1.816069,0.645918,142957_94640,c4d.851927.6.25989,c4d_190429_095027_ooi_z_v1
256.63025252851867,-26.92176661463771,58602.410041208845,21.196398,z,0.882977,0.514895,142957_94727,c4d.851927.6.25993,c4d_190429_095027_ooi_z_v1
256.62989690900633,-26.928802898655896,58602.410041208845,19.82657,z,1.256006,0.966114,142957_94244,c4d.851927.6.26010,c4d_190429_095027_ooi_z_v1
256.62972549404736,-26.92931505087617,58602.410041208845,20.398981,z,1.014546,0.679913,142957_94203,c4d.851927.6.26011,c4d_190429_095027_ooi_z_v1
256.62978786141866,-26.928033624609146,58602.410041208845,20.570473,z,1.133342,0.737667,142957_94299,c4d.851927.6.26025,c4d_190429_095027_ooi_z_v1
256.62929376242255,-26.927950417189233,58602.410041208845,20.607763,z,1.124402,0.827896,142957_94303,c4d.851927.6.26026,c4d_190429_095027_ooi_z_v1
256.62938505430213,-26.920681765246073,58602.410041208845,19.571682,z,1.040364,0.966319,142957_94802,c4d.851927.6.26033,c4d_190429_095027_ooi_z_v1
256.629140166403,-26.920008570326786,58602.410041208845,17.806974,z,0.924818,0.982058,142957_94846,c4d.851927.6.26034,c4d_190429_095027_ooi_z_v1
256.6284155593732,-26.923438777129313,58602.410041208845,18.017544,z,1.395661,0.98064,142957_94612,c4d.851927.6.26095,c4d_190429_095027_ooi_z_v1
256.6280573372988,-26.9266870806856,58602.410041208845,19.097097,z,0.96207,0.974379,142957_94392,c4d.851927.6.26097,c4d_190429_095027_ooi_z_v1
256.62847967694177,-26.929541237351565,58602.410041208845,20.066507,z,1.01801,0.736536,142957_94184,c4d.851927.6.26099,c4d_190429_095027_ooi_z_v1
256.6279672463131,-26.928762442006263,58602.410041208845,19.95142,z,0.978913,0.947426,142957_94248,c4d.851927.6.26138,c4d_190429_095027_ooi_z_v1
