# Subset of vw_below_ms.csv with |b|>10 deg, -0.5<G-W1 excess<1.8, w1_amp>0.15, W1<15.5 (226 rows): input to vw_pipeline.py.
designation,ra,dec,vartype,confidence,variability_snr,period1,period2,period_significance,suspect_period,w1_amp,w2_amp,n_obs,w1mag,w2mag,w3mag,jmag,hmag,kmag,gmag,bpmag,rpmag,plx,e_plx,simbad_type,known_extragalactic,blended_source,latent_artifact,cat,bprp,MG,d_ridge,env,gw1_exc,b
VarWISE J145027.87+741606.2,222.61615,74.2684,ew,0.9141,9.219,1.595525,4.6445,9.981,0,0.821,1.677,149,14.823,15.357,12.44,16.32,15.71,15.2,19.77,20.76,18.5,2.8962,0.3233,,0,0.13,0.22,varwiseext,2.2600000000000016,12.079142746011676,2.772335133532966,10.822508419167912,1.5636666666666628,40.420275474743946
VarWISE J033453.59+344546.7,53.72333,34.763,ew,0.9998,6.603,0.256425,0.51285,47.637,0,0.232,0.337,266,13.723,13.728,12.28,14.68,13.98,13.74,17.67,17.97,16.19,3.9343,0.7037,EclBin,0,0.04,0.1,varwisepure,1.7799999999999976,10.644337364313442,2.770135511051051,9.815489434737223,1.3195000000000037,-17.03422902839206
VarWISE J185124.23-263748.7,282.85099,-26.6302,rr,0.8676,4.756,0.250175,0.411975,6.985,0,0.261,0.586,199,14.623,14.529,12.25,15.72,15.12,14.89,19.15,19.88,17.57,4.0844,0.7765,,0,0.06,0.11,varwiseext,2.3099999999999987,12.205641337600904,2.7347146290495328,10.842159592530058,1.0620000000000007,-11.786646846526695
VarWISE J131452.27-503728.5,198.71782,-50.6246,cv,0.8824,4.187,6.4954,9.58565,6.32,0,0.17,0.292,315,14.167,13.946,12.47,15.32,14.8,14.4,19.62,21.37,18.09,12.3039,0.4011,,0,0.04,0.05,varwiseext,3.280000000000001,15.070213963707182,2.7251257626335157,12.933403780122424,0.5329999999999986,12.074316676742763
VarWISE J212455.36+340629.8,321.2307,34.1083,yso,0.6207,3.967,1.05135,1.601175,8.581,0,0.283,0.507,263,14.944,14.733,12.69,16.38,15.71,15.24,20.04,21.37,18.67,4.7111,0.4945,,0,0.06,0.11,varwiseext,2.6999999999999993,13.405611614363806,2.7090013698681084,11.829250631951004,1.0459999999999994,-11.638226015924205
VarWISE J152614.91-111326.7,231.56215,-11.2241,ew,1.0,21.818,0.469225,0.375575,44.035,0,0.628,0.661,264,12.896,12.592,11.77,14.19,13.31,12.92,17.53,18.7,16.4,8.2795,0.1266,,0,0.04,0.15,varwisepure,2.3000000000000007,12.120020552404116,2.6819176630672725,10.83822935785763,1.1839999999999988,36.33515643077021
VarWISE J004523.21+420011.1,11.34673,42.0031,ew,0.5369,4.94,0.477625,0.4256,5.958,0,0.371,0.615,127,14.841,14.768,,,,,20.31,21.83,18.88,5.8912,0.7396,,0,0.07,0.08,varwiseext,2.9499999999999993,14.161018834119602,2.681101338890265,12.32459926969202,1.0440000000000005,-20.854514443469625
VarWISE J053716.67-700442.6,84.31946,-70.0785,rr,0.5276,5.102,78.1,766.0,8.902,0,0.179,0.247,1544,13.523,13.487,12.97,14.69,14.08,13.98,17.76,17.9,16.1,3.7036,0.1519,,0,0.04,0.34,varwiseext,1.7999999999999972,10.603120377126366,2.676163462472079,9.894924523391907,1.587000000000005,-31.676365555174442
VarWISE J183901.50-295548.3,279.75626,-29.9301,rr,0.5035,4.824,0.88295,1.19285,6.285,0,0.278,0.515,214,14.601,14.572,12.32,15.52,15.02,14.62,18.91,19.55,17.38,3.5676,0.2971,,0,0.05,0.15,varwiseext,2.1700000000000017,11.671880776262814,2.66440432198071,10.734071764593429,1.0756666666666628,-10.705213342289387
VarWISE J094436.39+644017.7,146.15164,64.6716,ew,0.7133,5.826,0.130775,0.217725,11.487,0,0.252,0.461,334,14.487,14.289,12.17,15.73,15.21,14.66,19.82,21.25,18.32,7.0345,0.3803,,0,0.04,0.25,varwiseext,2.9299999999999997,14.05616616986449,2.641304002595332,12.288866102904556,0.9380000000000006,42.31703866007277
VarWISE J163853.09-191143.7,249.72124,-19.1955,cv,0.5001,4.173,5.5688,0.253075,7.694,0,0.29,0.615,229,14.735,14.614,12.03,16.38,15.44,15.68,20.12,21.45,18.79,4.139,0.5756,,0,0.06,0.05,varwiseext,2.66,13.2044771320038,2.636236766868146,11.72464167994444,1.3950000000000014,18.031999422732042
VarWISE J183243.42-374748.8,278.18093,-37.7969,rr,0.6556,4.309,2.9563,0.59565,7.514,0,0.26,0.677,261,14.731,14.837,12.46,15.67,15.13,14.86,18.65,19.67,17.3,5.3103,0.3149,,0,0.05,0.27,varwiseext,2.370000000000001,12.275595283998914,2.6156854223682036,10.94107153654936,0.3639999999999967,-12.832095322771654
VarWISE J171313.75-203511.4,258.30732,-20.5865,rr,0.4283,4.271,1.045225,2.47905,7.193,0,0.232,0.572,242,14.542,14.591,12.01,16.3,15.58,14.79,19.09,19.74,17.84,2.1706,0.3325,,0,0.07,0.12,varwiseext,1.8999999999999984,10.772898993370193,2.577236041884296,10.022416374466916,1.748000000000002,10.711304117832565
VarWISE J180223.60-434248.2,270.59835,-43.7134,rr,0.6562,4.696,2.9415,4.146025,6.865,0,0.24,0.816,249,14.435,14.792,,,,,17.73,18.32,16.53,3.5334,0.399,,0,0.04,0.08,varwiseext,1.7899999999999991,10.470964023516562,2.5703846395582177,9.855206979064572,0.6562500000000009,-10.282097234174788
VarWISE J182904.43-333042.1,277.26846,-33.5117,rr,0.8916,4.26,4.1729,0.548125,5.379,0,0.177,0.365,252,14.08,13.968,12.35,15.15,14.54,14.33,18.36,19.42,16.86,7.8675,0.4903,,0,0.05,0.3,varwiseext,2.5600000000000023,12.839183757926287,2.5619667578187855,11.45057657571564,0.4399999999999959,-10.338106446130478
VarWISE J100237.15+441535.9,150.65481,44.26,agn,0.9984,6.152,268.0,387.0,4.668,0,0.361,0.478,298,14.71,13.545,12.45,,,,18.88,19.81,17.83,2.6275,0.202,,1,0.04,0.08,varwisepure,1.9800000000000004,10.977713623501398,2.554240005594874,10.207232387595244,1.2499999999999971,52.22160186582072
VarWISE J131737.49-463859.9,199.40624,-46.65,cv,,9.08,,,,0,0.177,0.297,319,13.716,13.232,11.77,15.27,14.52,14.14,19.85,21.5,18.37,8.5311,0.597,,0,0.04,0.14,varwisepure,3.129999999999999,14.50502516353393,2.517222698043597,12.685211002740672,1.4390000000000036,15.984169565779828
VarWISE J175218.78-484227.0,268.07826,-48.7075,rr,0.8866,4.325,2.188975,2.624875,6.528,0,0.22,0.511,263,14.487,14.474,12.64,15.45,14.86,14.8,18.86,19.99,17.21,8.3148,1.0273,,0,0.04,0.11,varwiseext,2.7799999999999976,13.459259036905168,2.512915964689613,12.015788306097852,0.2030000000000029,-11.114189072222066
VarWISE J175311.24-480754.1,268.29686,-48.1317,rr,0.8957,4.289,1.5295,2.26055,7.173,0,0.237,0.469,265,14.62,14.548,,,,,20.46,22.45,18.97,9.0751,1.1089,,0,0.07,0.03,varwiseext,3.4800000000000004,15.249257096479546,2.4868645249985235,13.256542375892282,0.6560000000000006,-10.964994161121345
