sdss_id,gaia_dr3_source_id,ra,dec,g_mag,plx,e_plx,classification,p_da,p_dah,p_dahe,p_dbh,p_mwd,p_cv,teff,logg,snr,telescope,run2d,v_astra,release,filetype,source,spectrum_pk,min_mjd,max_mjd,n_visits
100530586,5665371272869153152,145.362,-20.50898,19.29658,2.686119,0.3925718,DA,0.5317883,0.3118554,0,0.001995063,0,0.01949237,40911.14,9.489998,12.23748,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,2996669,11592637,60679,60679,1
68727015,2216050296922508160,325.8787,62.52359,19.38614,3.891308,0.2067614,DA/DAH,0.3969405,0.3762578,0.002,0,0.009948088,0.008771718,-9999,-9999,11.87766,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,279202,9702215,59764,60606,3
79055293,3666514280951973504,214.9907,1.500602,19.33408,5.17911,0.3059524,DA,0.5413511,0.3192023,0,0,0.005647577,0.01020027,19000,9.489805,11.46625,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,2213502,10508789,60407,60408,2
63173229,1760816985111417856,318.2724,16.38627,18.56645,6.099979,0.179418,DAH/DA,0.3182993,0.3793985,0.001999175,0.001052632,0.01199464,0.02203704,-9999,-9999,11.44014,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,442687,8932983,60467,60467,1
63502009,1804015873552680576,306.2546,13.17376,18.96928,2.667075,0.2555556,DA,0.5154353,0.3274468,0.001999175,0,0.003996429,0.01906387,-9999,-9999,10.86072,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,2433894,8353442,60234,60234,1
56038360,621979502901486720,151.9989,16.39705,17.716,11.79365,0.1135261,DAH/DA,0.3333505,0.3768674,0,0,0.007994642,0.01046817,-9999,-9999,10.66885,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,783072,11442000,60659,60659,1
89097625,4441843735731284096,252.3473,6.966223,18.34565,8.51463,0.1433872,DA/DAH,0.4019342,0.3328221,0.003801878,0.001997528,0.005926481,0.01137257,-9999,-9999,10.5043,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,802792,11506965,60061,60061,1
73570838,3027304747952370816,113.4942,-17.08155,18.94358,7.630952,0.208318,DA,0.5343595,0.3753465,0.002,0,0,0.01074343,29604.21,9.49,10.4493,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,740747,8290789,60585,60586,2
76279848,3292538593587544832,69.53353,8.670009,19.5649,4.353397,0.3226971,DA/DAH,0.4020289,0.3050021,0.007074786,0,0.003998214,0.0219664,-9999,-9999,10.08868,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,1000503,9735317,60256,60259,2
56367119,671404405996606592,114.4536,18.27209,19.79459,2.983305,0.4329637,DAH/DAO,0.1820779,0.3316822,0.001965812,0,0.01598928,0.01899031,-9999,-9999,9.722829,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,1386941,9695401,59186,60591,9
63348821,1785306441957613568,321.8686,18.27861,19.33326,6.172649,0.2783323,DA/DAH,0.4534732,0.357721,0,0.007026518,0.005980017,0.0125284,-9999,-9999,9.673072,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,1279396,9816843,60498,60499,2
59907448,1231082728208854784,210.0365,15.18016,17.55139,7.397748,0.1009236,DAH/DA,0.3312701,0.448976,0,0.003995063,0.005994643,0.02119552,-9999,-9999,9.238715,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,3108735,9728179,59958,59958,1
111976843,6658921831205921792,291.3989,-49.47786,18.40526,6.426262,0.1694614,DA,0.5620934,0.3098211,0.002,0,0,0.006514236,8653.44,9.49,8.941677,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,1196860,10446080,60170,60170,1
93009757,4833309388918586624,54.83701,-47.94266,19.69606,3.789106,0.3197833,DA/DAH,0.3627048,0.2960627,0.001802291,0.01900923,0.01192559,0.01593351,-9999,-9999,8.13244,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,2882750,12165778,60620,60620,1
92217104,4719081748678490624,27.17229,-56.96164,19.80083,4.573584,0.2940633,DA/DAH,0.4448809,0.3126638,0,0.005026297,0.01196872,0.01507915,-9999,-9999,7.997055,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,962936,10462811,60256,60554,5
56258874,657989024107287168,129.6542,16.19471,19.11093,3.738355,0.2891579,DA/DAH,0.4531214,0.3540626,0.003983018,0,0.007981041,0.0129525,-9999,-9999,7.749517,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,1173456,7614571,60617,60617,1
86043551,4187365308538865792,291.9149,-12.49872,19.42075,5.897993,0.344564,DA/DAH,0.4214676,0.3800573,0.002,0.001076923,0.002,0.01624686,-9999,-9999,7.464679,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,2841829,8998583,60087,60087,1
68437895,2188252443946633088,306.9901,58.2616,19.11107,5.01797,0.1735651,DA/DAH,0.4373357,0.3122773,0.005998763,0.002,0.009540281,0.01396283,-9999,-9999,7.398797,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,596354,11517223,60121,60665,2
62360404,1629667306869864064,243.6328,64.42921,19.51793,4.101522,0.24458,DA/DAH,0.4632937,0.3418389,0.003998351,0,0.002,0.02007814,-9999,-9999,7.354813,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,789171,10489906,59296,59384,4
